"68","The Kraft Heinz Company","Chicago","IL","1869","2015","9","KHC","NASDAQ"
"69","The J. M. Smucker Company","Orrville","OH","1897","1959","9","SJM","NYSE"
"70","Campbell Soup Company","Camden","NJ","1869","1954","9","CPB","NYSE"
"71","Molson Coors Beverage Company","Chicago","IL","1786","1975","9","TAP.A","NYSE"
"72","Darden Restaurants, Inc.","Orlando","FL","1938","1995","10","DRI","NYSE"
"73","The Wendy's Company","Dublin","OH","1884","1976","10","WEN","NASDAQ"
"74","Yum! Brands, Inc.","Louisville","KY","1997","1997","10","YUM","NYSE"
"75","Chipotle Mexican Grill, Inc.","Newport Beach","CA","1993","2006","10","CMG","NYSE"
"76","Restaurant Brands International Inc.","Toronto","Canada","2014","2014","10","QSR","NYSE"
"77","Starbucks Corporation","Seattle","WA","1971","1992","10","SBUX","NASDAQ"
"78","Domino's Pizza, Inc.","Ann Arbor","MI","1960","2004","10","DPZ","NYSE"
"79","Papa John's Pizza, Inc.","Jeffersontown","KY","1984","1993","10","PZZA","NASDAQ"
"80","McDonald's Corporation","Chicago","IL","1940","1965","10","MCD","NYSE"
"81","Whirlpool Corporation","Benton Charter Township","MI","1911","1955","11","WHR","NYSE"
"82","General Electric Company","Boston","MA","1892","1892","11","GE","NYSE"
"83","Booking Holdings Inc.","Norwalk","CT","1996","1999","12","BKNG","NASDAQ"
"84","Marriott International, Inc.","Bethesda","MD","1927","1953","12","MAR","NASDAQ"
"85","InterContinental Hotels Group plc","Denham","United Kingdom","2003","2003","12","IHG","NYSE"
"86","Expedia Group, Inc.","Seattle","WA","1996","1999","12","EXPE","NASDAQ"
"87","Carnival Corporation & plc","Doral","FL","1972","1987","12","CCL","NYSE"
"88","Royal Caribbean Cruises Ltd.","Miami","FL","1968","1993","12","RCL","NYSE"
"89","Norwegian Cruise Line Holdings Ltd.","Miami","FL","1966","2013","12","NCLH","NYSE"
"90","Anthem, Inc.","Indianapolis","IN","1946","1998","13","ANTM","NYSE"
"91","Cigna Corporation","Bloomfield","CT","1982","1982","13","CI","NYSE"
"92","UnitedHealth Group Incorporated","Minnetonka","MN","1977","1984","13","UNH","NYSE"
"93","Humana Inc.","Louisville","KY","1961","1968","13","HUM","NYSE"
"94","HCA Healthcare, Inc.","Nashville","TN","1968","1969","13","HCA","NYSE"
"95","United Parcel Service, Inc.","Sandy Springs","GA","1907","1999","14","UPS","NYSE"
"96","FedEx Corporation","Memphis","TN","1971","1978","14","FDX","NYSE"
"97","Southwest Airlines Co.","Dallas","TX","1967","1971","15","LUV","NYSE"
"98","Delta Air Lines, Inc.","Atlanta","GA","1929","2007","15","DAL","NYSE"
"99","American Airlines, Inc.","Fort Worth","TX","1926","1980","15","AAL","NASDAQ"
"100","United Airlines Holdings, Inc.","Chicago","IL","1931","2006","15","UAL","NASDAQ"
"101","Alaska Air Group, Inc.","SeaTac","WA","1944","1978","15","ALK","NYSE"
"102","Spirit Airlines, Inc.","Miramar","FL","1983","2011","15","SAVE","NYSE"
"103","The Progressive Corporation","Mayfield Village","OH","1937","1970","16","PGR","NYSE"
"104","The Allstate Corporation","Norrhbrook","IL","1931","1991","16","ALL","NYSE"
"105","Aflac Incorporated","Columbus","GA","1955","1979","16","AFL","NYSE"
"106","Assurant, Inc.","New York","NY","1892","2004","16","AIZ","NYSE"
"107","General Motors Company","Detroit","MI","1908","2010","17","GM","NYSE"
"108","Ford Motor Company","Dearborn","MI","1903","1956","17","F","NYSE"
"109","Tesla, Inc.","Palo Alto","CA","2003","2010","17","TSLA","NASDAQ"
"110","Harley-Davidson, Inc.","Milwaukee","WI","1903","1986","17","HOG","NYSE"
"111","O'Reilly Automotive, Inc.","Springfield","MO","1957","1993","18","ORLY","NASDAQ"
"112","AutoZone, Inc.","Memphis","TN","1979","1991","18","AZO","NYSE"
"113","CarMax, Inc.","Richmond","VA","1993","1997","18","KMX","NYSE"
"114","Advance Auto Parts, Inc.","Raleigh","NC","1932","2001","18","AAP","NYSE"
"115","Carvana","Tempe","AZ","2013","2017","18","CVNA","NYSE"
"116","The Walt Disney Company","Burbank","CA","1923","1940","5","DIS","NYSE"
"117","The Kroger Company","Cincinnati","OH","1883","1928","7","KR","NYSE"
"118","Fiat Chrysler Automobiles","Amsterdam","Netherlands","1899","2010","17","FCAU","NYSE"
"119","Honda Motor Co., Ltd.","Tokyo","Japan","1946","1977","17","HMC","NYSE"
"120","Toyota Motor Corporation","Toyota City","Japan","1937","1999","17","TM","NYSE"
"121","Grubhub Inc.","Chicago","IL","2004","2014","1","GRUB","NYSE"
"122","Campbell Soup Company","Camden","NJ","1869","1954","9","CPB","NYSE"
