"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"36622","1996","1"," General Motors","168829",NULL,"6880.7",NULL,NULL,NULL,NULL,NULL
"36623","1996","2"," Ford Motor","137137",NULL,"4139",NULL,NULL,NULL,NULL,NULL
"36624","1996","3"," Exxon Mobil","110009",NULL,"6470",NULL,NULL,NULL,NULL,NULL
"36625","1996","4"," Wal-Mart Stores","93627",NULL,"2740",NULL,NULL,NULL,NULL,NULL
"36626","1996","5"," AT&T","79609",NULL,"139",NULL,NULL,NULL,NULL,NULL
"36627","1996","6"," Intl. Business Machines","71940",NULL,"4178",NULL,NULL,NULL,NULL,NULL
"36628","1996","7"," General Electric","70028",NULL,"6573",NULL,NULL,NULL,NULL,NULL
"36629","1996","8"," Mobil","66724",NULL,"2376",NULL,NULL,NULL,NULL,NULL
"36630","1996","9"," Chrysler","53195",NULL,"2025",NULL,NULL,NULL,NULL,NULL
"36631","1996","10"," Altria Group","53139",NULL,"5450",NULL,NULL,NULL,NULL,NULL
"36632","1996","11"," Prudential Ins. Co. of America","41330",NULL,"579",NULL,NULL,NULL,NULL,NULL
"36633","1996","12"," State Farm Insurance Cos","40809.9",NULL,"1271.2",NULL,NULL,NULL,NULL,NULL
"36634","1996","13"," DuPont","37607",NULL,"3293",NULL,NULL,NULL,NULL,NULL
"36635","1996","14"," Texaco","36787",NULL,"607",NULL,NULL,NULL,NULL,NULL
"36636","1996","15"," Sears Roebuck","35181",NULL,"1801",NULL,NULL,NULL,NULL,NULL
"36637","1996","16"," Kmart Holding","34654",NULL,"-571",NULL,NULL,NULL,NULL,NULL
"36638","1996","17"," Procter & Gamble","33434",NULL,"2645",NULL,NULL,NULL,NULL,NULL
"36639","1996","18"," ChevronTexaco","32094",NULL,"930",NULL,NULL,NULL,NULL,NULL
"36640","1996","19"," Citicorp","31690",NULL,"3464",NULL,NULL,NULL,NULL,NULL
"36641","1996","20"," Hewlett-Packard","31519",NULL,"2433",NULL,NULL,NULL,NULL,NULL
"36642","1996","21"," PepsiCo","30421",NULL,"1606",NULL,NULL,NULL,NULL,NULL
"36643","1996","22"," MetLife","27977",NULL,"-559.4",NULL,NULL,NULL,NULL,NULL
"36644","1996","23"," Amoco","27665",NULL,"1862",NULL,NULL,NULL,NULL,NULL
"36645","1996","24"," Motorola","27037",NULL,"1781",NULL,NULL,NULL,NULL,NULL
"36646","1996","25"," American Intl. Group","25874",NULL,"2510.4",NULL,NULL,NULL,NULL,NULL
"36647","1996","26"," ConAgra Foods","24108.9",NULL,"495.6",NULL,NULL,NULL,NULL,NULL
"36648","1996","27"," Kroger","23937.8",NULL,"302.8",NULL,NULL,NULL,NULL,NULL
"36649","1996","28"," Target","23516",NULL,"311",NULL,NULL,NULL,NULL,NULL
"36650","1996","29"," Lockheed Martin","22853",NULL,"682",NULL,NULL,NULL,NULL,NULL
"36651","1996","30"," United Technologies","22802",NULL,"750",NULL,NULL,NULL,NULL,NULL
"36652","1996","31"," Allstate","22793",NULL,"1904",NULL,NULL,NULL,NULL,NULL
"36653","1996","32"," Fannie Mae","22246",NULL,"2372",NULL,NULL,NULL,NULL,NULL
"36654","1996","33"," Merrill Lynch","21513",NULL,"1114",NULL,NULL,NULL,NULL,NULL
"36655","1996","34"," J.C. Penney","21419",NULL,"838",NULL,NULL,NULL,NULL,NULL
"36656","1996","35"," United Parcel Service","21045",NULL,"1043",NULL,NULL,NULL,NULL,NULL
"36657","1996","36"," Dow Chemical","20957",NULL,"2078",NULL,NULL,NULL,NULL,NULL
"36658","1996","37"," BankAmerica Corp.","20386",NULL,"2664",NULL,NULL,NULL,NULL,NULL
"36659","1996","38"," GTE","19957",NULL,"-2144",NULL,NULL,NULL,NULL,NULL
"36660","1996","39"," International Paper","19797",NULL,"1153",NULL,NULL,NULL,NULL,NULL
"36661","1996","40"," Boeing","19515",NULL,"393",NULL,NULL,NULL,NULL,NULL
"36662","1996","41"," Xerox","18963",NULL,"-472",NULL,NULL,NULL,NULL,NULL
"36663","1996","42"," Cigna","18955",NULL,"211",NULL,NULL,NULL,NULL,NULL
"36664","1996","43"," Johnson & Johnson","18842",NULL,"2403",NULL,NULL,NULL,NULL,NULL
"36665","1996","44"," Loews","18770",NULL,"1765.7",NULL,NULL,NULL,NULL,NULL
"36666","1996","45"," American Stores","18308.9",NULL,"316.8",NULL,NULL,NULL,NULL,NULL
"36667","1996","46"," Costco Wholesale","18247.3",NULL,"133.9",NULL,NULL,NULL,NULL,NULL
"36668","1996","47"," Marathon Oil","18214",NULL,"214",NULL,NULL,NULL,NULL,NULL
"36669","1996","48"," Coca-Cola","18018",NULL,"2986",NULL,NULL,NULL,NULL,NULL
"36670","1996","49"," BellSouth","17886",NULL,"-1232",NULL,NULL,NULL,NULL,NULL
"36671","1996","50"," Sara Lee","17719",NULL,"804",NULL,NULL,NULL,NULL,NULL
"36672","1996","51"," Columbia/HCA Healthcare","17695",NULL,"961.1",NULL,NULL,NULL,NULL,NULL
"36673","1996","52"," Fleming","17501.6",NULL,"42",NULL,NULL,NULL,NULL,NULL
"36674","1996","53"," AMR","16910",NULL,"167",NULL,NULL,NULL,NULL,NULL
"36675","1996","54"," Atlantic Richfield","16739",NULL,"1376",NULL,NULL,NULL,NULL,NULL
"36676","1996","55"," Merck","16681.1",NULL,"3335.2",NULL,NULL,NULL,NULL,NULL
"36677","1996","56"," Citigroup","16583",NULL,"1834",NULL,NULL,NULL,NULL,NULL
"36678","1996","57"," Supervalu","16563.8",NULL,"43.3",NULL,NULL,NULL,NULL,NULL
"36679","1996","58"," Safeway","16397.5",NULL,"326.3",NULL,NULL,NULL,NULL,NULL
"36680","1996","59"," Bank of America Corp.","16298",NULL,"1950",NULL,NULL,NULL,NULL,NULL
"36681","1996","60"," Intel","16202",NULL,"3566",NULL,NULL,NULL,NULL,NULL
"36682","1996","61"," New York Life Insurance","16201.7",NULL,"625.2",NULL,NULL,NULL,NULL,NULL
"36683","1996","62"," 3M","16105",NULL,"976",NULL,NULL,NULL,NULL,NULL
"36684","1996","63"," Caterpillar","16072",NULL,"1136",NULL,NULL,NULL,NULL,NULL
"36685","1996","64"," Nabisco Group Holdings","16008",NULL,"611",NULL,NULL,NULL,NULL,NULL
"36686","1996","65"," American Express","15841",NULL,"1564",NULL,NULL,NULL,NULL,NULL
"36687","1996","66"," Home Depot","15470.4",NULL,"731.5",NULL,NULL,NULL,NULL,NULL
"36688","1996","67"," Eastman Kodak","15269",NULL,"1252",NULL,NULL,NULL,NULL,NULL
"36689","1996","68"," MCI Communications","15265",NULL,"548",NULL,NULL,NULL,NULL,NULL
"36690","1996","69"," Federated Dept. Stores","15048.5",NULL,"74.6",NULL,NULL,NULL,NULL,NULL
"36691","1996","70"," UAL","14943",NULL,"349",NULL,NULL,NULL,NULL,NULL
"36692","1996","71"," Chase Manhattan Corp.","14884",NULL,"1805",NULL,NULL,NULL,NULL,NULL
"36693","1996","72"," Compaq Computer","14755",NULL,"789",NULL,NULL,NULL,NULL,NULL
"36694","1996","73"," Honeywell Intl.","14346",NULL,"875",NULL,NULL,NULL,NULL,NULL
"36695","1996","74"," McDonnell Douglas","14332",NULL,"-416",NULL,NULL,NULL,NULL,NULL
"36696","1996","75"," Georgia-Pacific","14292",NULL,"1018",NULL,NULL,NULL,NULL,NULL
"36697","1996","76"," J.P. Morgan","13838",NULL,"1296",NULL,NULL,NULL,NULL,NULL
"36698","1996","77"," Digital Equipment","13813.1",NULL,"121.8",NULL,NULL,NULL,NULL,NULL
"36699","1996","78"," Kimberly-Clark","13788.6",NULL,"33.2",NULL,NULL,NULL,NULL,NULL
"36700","1996","79"," Bristol-Myers Squibb","13767",NULL,"1812",NULL,NULL,NULL,NULL,NULL
"36701","1996","80"," Sprint","13599.5",NULL,"395.3",NULL,NULL,NULL,NULL,NULL
"36702","1996","81"," ConocoPhillips","13521",NULL,"469",NULL,NULL,NULL,NULL,NULL
"36703","1996","82"," Lehman Brothers Hldgs.","13476",NULL,"242",NULL,NULL,NULL,NULL,NULL
"36704","1996","83"," Verizon Communications","13429.5",NULL,"1858.3",NULL,NULL,NULL,NULL,NULL
"36705","1996","84"," Ameritech","13427.8",NULL,"2007.6",NULL,NULL,NULL,NULL,NULL
"36706","1996","85"," Nynex","13406.9",NULL,"-1849.9",NULL,NULL,NULL,NULL,NULL
"36707","1996","86"," Wyeth","13376.1",NULL,"1680.4",NULL,NULL,NULL,NULL,NULL
"36708","1996","87"," McKesson","13325.5",NULL,"404.5",NULL,NULL,NULL,NULL,NULL
"36709","1996","88"," Goodyear Tire & Rubber","13165.9",NULL,"611",NULL,NULL,NULL,NULL,NULL
"36710","1996","89"," Texas Instruments","13128",NULL,"1088",NULL,NULL,NULL,NULL,NULL
"36711","1996","90"," Rockwell Automation","13009",NULL,"742",NULL,NULL,NULL,NULL,NULL
"36712","1996","91"," Aetna","12978",NULL,"251.7",NULL,NULL,NULL,NULL,NULL
"36713","1996","92"," Archer Daniels Midland","12671.9",NULL,"795.9",NULL,NULL,NULL,NULL,NULL
"36714","1996","93"," SBC Communications","12669.7",NULL,"-930",NULL,NULL,NULL,NULL,NULL
"36715","1996","94"," IBP","12667.6",NULL,"257.9",NULL,NULL,NULL,NULL,NULL
