"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"39115","1991","1"," General Motors","125126",NULL,"-1985.7",NULL,NULL,NULL,NULL,NULL
"39116","1991","2"," Exxon Mobil","105885",NULL,"5010",NULL,NULL,NULL,NULL,NULL
"39117","1991","3"," Ford Motor","98274.7",NULL,"860.1",NULL,NULL,NULL,NULL,NULL
"39118","1991","4"," Intl. Business Machines","69018",NULL,"6020",NULL,NULL,NULL,NULL,NULL
"39119","1991","5"," Mobil","58770",NULL,"1929",NULL,NULL,NULL,NULL,NULL
"39120","1991","6"," General Electric","58414",NULL,"4303",NULL,NULL,NULL,NULL,NULL
"39121","1991","7"," Altria Group","44323",NULL,"3540",NULL,NULL,NULL,NULL,NULL
"39122","1991","8"," Texaco","41235",NULL,"1450",NULL,NULL,NULL,NULL,NULL
"39123","1991","9"," DuPont","39839",NULL,"2310",NULL,NULL,NULL,NULL,NULL
"39124","1991","10"," ChevronTexaco","39262",NULL,"2157",NULL,NULL,NULL,NULL,NULL
"39125","1991","11"," Chrysler","30868",NULL,"68",NULL,NULL,NULL,NULL,NULL
"39126","1991","12"," Amoco","28277",NULL,"1913",NULL,NULL,NULL,NULL,NULL
"39127","1991","13"," Boeing","27595",NULL,"1385",NULL,NULL,NULL,NULL,NULL
"39128","1991","14"," Shell Oil","24423",NULL,"1036",NULL,NULL,NULL,NULL,NULL
"39129","1991","15"," Procter & Gamble","24376",NULL,"1602",NULL,NULL,NULL,NULL,NULL
"39130","1991","16"," Occidental Petroleum","21947",NULL,"-1695",NULL,NULL,NULL,NULL,NULL
"39131","1991","17"," United Technologies","21783.2",NULL,"750.6",NULL,NULL,NULL,NULL,NULL
"39132","1991","18"," Dow Chemical","20005",NULL,"1384",NULL,NULL,NULL,NULL,NULL
"39133","1991","19"," Marathon Oil","19462",NULL,"818",NULL,NULL,NULL,NULL,NULL
"39134","1991","20"," Eastman Kodak","19075",NULL,"703",NULL,NULL,NULL,NULL,NULL
"39135","1991","21"," Atlantic Richfield","18819",NULL,"2011",NULL,NULL,NULL,NULL,NULL
"39136","1991","22"," Xerox","18382",NULL,"243",NULL,NULL,NULL,NULL,NULL
"39137","1991","23"," PepsiCo","17802.7",NULL,"1076.9",NULL,NULL,NULL,NULL,NULL
