"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"27460","2011","1"," Wal-Mart Stores","421849",NULL,"16389",NULL,NULL,NULL,NULL,NULL
"27461","2011","2"," Exxon Mobil","354674",NULL,"30460",NULL,NULL,NULL,NULL,NULL
"27462","2011","3"," Chevron","196337",NULL,"19024",NULL,NULL,NULL,NULL,NULL
"27463","2011","4"," ConocoPhillips","184966",NULL,"11358",NULL,NULL,NULL,NULL,NULL
"27464","2011","5"," Fannie Mae","153825",NULL,"-14014",NULL,NULL,NULL,NULL,NULL
"27465","2011","6"," General Electric","151628",NULL,"11644",NULL,NULL,NULL,NULL,NULL
"27466","2011","7"," Berkshire Hathaway","136185",NULL,"12967",NULL,NULL,NULL,NULL,NULL
"27467","2011","8"," General Motors","135592",NULL,"6172",NULL,NULL,NULL,NULL,NULL
"27468","2011","9"," Bank of America Corp.","134194",NULL,"-2238",NULL,NULL,NULL,NULL,NULL
"27469","2011","10"," Ford Motor","128954",NULL,"6561",NULL,NULL,NULL,NULL,NULL
"27470","2011","11"," Hewlett-Packard","126033",NULL,"8761",NULL,NULL,NULL,NULL,NULL
"27471","2011","12"," AT&T","124629",NULL,"19864",NULL,NULL,NULL,NULL,NULL
"27472","2011","13"," J.P. Morgan Chase & Co.","115475",NULL,"17370",NULL,NULL,NULL,NULL,NULL
"27473","2011","14"," Citigroup","111055",NULL,"10602",NULL,NULL,NULL,NULL,NULL
"27474","2011","15"," McKesson","108702",NULL,"1263",NULL,NULL,NULL,NULL,NULL
"27475","2011","16"," Verizon Communications","106565",NULL,"2549",NULL,NULL,NULL,NULL,NULL
"27476","2011","17"," American International Group","104417",NULL,"7786",NULL,NULL,NULL,NULL,NULL
"27477","2011","18"," International Business Machines","99870",NULL,"14833",NULL,NULL,NULL,NULL,NULL
"27478","2011","19"," Cardinal Health","98601.9",NULL,"642.2",NULL,NULL,NULL,NULL,NULL
"27479","2011","20"," Freddie Mac","98368",NULL,"-14025",NULL,NULL,NULL,NULL,NULL
"27480","2011","21"," CVS Caremark","96413",NULL,"3427",NULL,NULL,NULL,NULL,NULL
"27481","2011","22"," UnitedHealth Group","94155",NULL,"4634",NULL,NULL,NULL,NULL,NULL
"27482","2011","23"," Wells Fargo","93249",NULL,"12362",NULL,NULL,NULL,NULL,NULL
"27483","2011","24"," Valero Energy","86034",NULL,"324",NULL,NULL,NULL,NULL,NULL
"27484","2011","25"," Kroger","82189.4",NULL,"1116.3",NULL,NULL,NULL,NULL,NULL
"27485","2011","26"," Procter & Gamble","79689",NULL,"12736",NULL,NULL,NULL,NULL,NULL
"27486","2011","27"," AmerisourceBergen","77954",NULL,"636.7",NULL,NULL,NULL,NULL,NULL
"27487","2011","28"," Costco Wholesale","77946",NULL,"1303",NULL,NULL,NULL,NULL,NULL
"27488","2011","29"," Marathon Oil","68413",NULL,"2568",NULL,NULL,NULL,NULL,NULL
"27489","2011","30"," Home Depot","67997",NULL,"3338",NULL,NULL,NULL,NULL,NULL
"27490","2011","31"," Pfizer","67809",NULL,"8257",NULL,NULL,NULL,NULL,NULL
"27491","2011","32"," Walgreen","67420",NULL,"2091",NULL,NULL,NULL,NULL,NULL
"27492","2011","33"," Target","67390",NULL,"2920",NULL,NULL,NULL,NULL,NULL
"27493","2011","34"," Medco Health Solutions","65968.3",NULL,"1427.3",NULL,NULL,NULL,NULL,NULL
"27494","2011","35"," Apple","65225",NULL,"14013",NULL,NULL,NULL,NULL,NULL
"27495","2011","36"," Boeing","64306",NULL,"3307",NULL,NULL,NULL,NULL,NULL
"27496","2011","37"," State Farm Insurance Cos.","63176.7",NULL,"1762.8",NULL,NULL,NULL,NULL,NULL
"27497","2011","38"," Microsoft","62484",NULL,"18760",NULL,NULL,NULL,NULL,NULL
"27498","2011","39"," Archer Daniels Midland","61682",NULL,"1930",NULL,NULL,NULL,NULL,NULL
"27499","2011","40"," Johnson & Johnson","61587",NULL,"13334",NULL,NULL,NULL,NULL,NULL
"27500","2011","41"," Dell","61494",NULL,"2635",NULL,NULL,NULL,NULL,NULL
"27501","2011","42"," WellPoint","58801.8",NULL,"2887.1",NULL,NULL,NULL,NULL,NULL
"27502","2011","43"," PepsiCo","57838",NULL,"6320",NULL,NULL,NULL,NULL,NULL
"27503","2011","44"," United Technologies","54326",NULL,"4373",NULL,NULL,NULL,NULL,NULL
"27504","2011","45"," Dow Chemical","53674",NULL,"2310",NULL,NULL,NULL,NULL,NULL
"27505","2011","46"," MetLife","52717",NULL,"2790",NULL,NULL,NULL,NULL,NULL
"27506","2011","47"," Best Buy","49694",NULL,"1317",NULL,NULL,NULL,NULL,NULL
"27507","2011","48"," United Parcel Service","49545",NULL,"3488",NULL,NULL,NULL,NULL,NULL
"27508","2011","49"," Kraft Foods","49542",NULL,"4114",NULL,NULL,NULL,NULL,NULL
"27509","2011","50"," Lowes","48815",NULL,"2010",NULL,NULL,NULL,NULL,NULL
"27510","2011","51"," INTL FCStone","46940.3",NULL,"5.4",NULL,NULL,NULL,NULL,NULL
"27511","2011","52"," Lockheed Martin","46890",NULL,"2926",NULL,NULL,NULL,NULL,NULL
"27512","2011","53"," Merck","45987",NULL,"861",NULL,NULL,NULL,NULL,NULL
"27513","2011","54"," Goldman Sachs Group","45967",NULL,"8354",NULL,NULL,NULL,NULL,NULL
"27514","2011","55"," Express Scripts","44989.7",NULL,"1181.2",NULL,NULL,NULL,NULL,NULL
"27515","2011","56"," Intel","43623",NULL,"11464",NULL,NULL,NULL,NULL,NULL
"27516","2011","57"," Sears Holdings","43326",NULL,"133",NULL,NULL,NULL,NULL,NULL
"27517","2011","58"," Caterpillar","42588",NULL,"2700",NULL,NULL,NULL,NULL,NULL
"27518","2011","59"," Chrysler Group","41946",NULL,"-652",NULL,NULL,NULL,NULL,NULL
"27519","2011","60"," Safeway","41050",NULL,"589.8",NULL,NULL,NULL,NULL,NULL
"27520","2011","61"," Supervalu","40597",NULL,"393",NULL,NULL,NULL,NULL,NULL
"27521","2011","62"," Cisco Systems","40040",NULL,"7767",NULL,NULL,NULL,NULL,NULL
"27522","2011","63"," Morgan Stanley","39320",NULL,"4703",NULL,NULL,NULL,NULL,NULL
"27523","2011","64"," Prudential Financial","38414",NULL,"3195",NULL,NULL,NULL,NULL,NULL
"27524","2011","65"," Walt Disney","38063",NULL,"3963",NULL,NULL,NULL,NULL,NULL
"27525","2011","66"," Comcast","37937",NULL,"3635",NULL,NULL,NULL,NULL,NULL
"27526","2011","67"," Sysco","37243.5",NULL,"1180",NULL,NULL,NULL,NULL,NULL
"27527","2011","68"," Sunoco","35453",NULL,"234",NULL,NULL,NULL,NULL,NULL
"27528","2011","69"," Abbott Laboratories","35166.7",NULL,"4626.2",NULL,NULL,NULL,NULL,NULL
"27529","2011","70"," Coca-Cola","35119",NULL,"11809",NULL,NULL,NULL,NULL,NULL
"27530","2011","71"," New York Life Insurance","34947.2",NULL,"1091.5",NULL,NULL,NULL,NULL,NULL
