"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"41140","2012","1"," Exxon Mobil","452926",NULL,"41060",NULL,NULL,NULL,NULL,NULL
"41141","2012","2"," Wal-Mart Stores","446950",NULL,"15699",NULL,NULL,NULL,NULL,NULL
"41142","2012","3"," Chevron","245621",NULL,"26895",NULL,NULL,NULL,NULL,NULL
"41143","2012","4"," ConocoPhillips","237272",NULL,"12436",NULL,NULL,NULL,NULL,NULL
"41144","2012","5"," General Motors","150276",NULL,"9190",NULL,NULL,NULL,NULL,NULL
"41145","2012","6"," General Electric","147616",NULL,"14151",NULL,NULL,NULL,NULL,NULL
"41146","2012","7"," Berkshire Hathaway","143688",NULL,"10254",NULL,NULL,NULL,NULL,NULL
"41147","2012","8"," Fannie Mae","137451",NULL,"-16855",NULL,NULL,NULL,NULL,NULL
"41148","2012","9"," Ford Motor","136264",NULL,"20213",NULL,NULL,NULL,NULL,NULL
"41149","2012","10"," Hewlett-Packard","127245",NULL,"7074",NULL,NULL,NULL,NULL,NULL
"41150","2012","11"," AT&T","126723",NULL,"3944",NULL,NULL,NULL,NULL,NULL
"41151","2012","12"," Valero Energy","125095",NULL,"2090",NULL,NULL,NULL,NULL,NULL
"41152","2012","13"," Bank of America Corp.","115074",NULL,"1446",NULL,NULL,NULL,NULL,NULL
"41153","2012","14"," McKesson","112084",NULL,"1202",NULL,NULL,NULL,NULL,NULL
"41154","2012","15"," Verizon Communications","110875",NULL,"2404",NULL,NULL,NULL,NULL,NULL
"41155","2012","16"," J.P. Morgan Chase & Co.","110838",NULL,"18976",NULL,NULL,NULL,NULL,NULL
"41156","2012","17"," Apple","108249",NULL,"25922",NULL,NULL,NULL,NULL,NULL
"41157","2012","18"," CVS Caremark","107750",NULL,"3461",NULL,NULL,NULL,NULL,NULL
"41158","2012","19"," International Business Machines","106916",NULL,"15855",NULL,NULL,NULL,NULL,NULL
"41159","2012","20"," Citigroup","102939",NULL,"11067",NULL,NULL,NULL,NULL,NULL
"41160","2012","21"," Cardinal Health","102644",NULL,"959",NULL,NULL,NULL,NULL,NULL
"41161","2012","22"," UnitedHealth Group","101862",NULL,"5142",NULL,NULL,NULL,NULL,NULL
"41162","2012","23"," Kroger","90374",NULL,"602",NULL,NULL,NULL,NULL,NULL
"41163","2012","24"," Costco Wholesale","88915",NULL,"1462",NULL,NULL,NULL,NULL,NULL
"41164","2012","25"," Freddie Mac","88262",NULL,"-5266",NULL,NULL,NULL,NULL,NULL
"41165","2012","26"," Wells Fargo","87597",NULL,"15869",NULL,NULL,NULL,NULL,NULL
"41166","2012","27"," Procter & Gamble","82559",NULL,"11797",NULL,NULL,NULL,NULL,NULL
"41167","2012","28"," Archer Daniels Midland","80676",NULL,"2036",NULL,NULL,NULL,NULL,NULL
"41168","2012","29"," AmerisourceBergen","80217.6",NULL,"706.6",NULL,NULL,NULL,NULL,NULL
"41169","2012","30"," INTL FCStone","75497.6",NULL,"37.3",NULL,NULL,NULL,NULL,NULL
"41170","2012","31"," Marathon Petroleum","73645",NULL,"2389",NULL,NULL,NULL,NULL,NULL
"41171","2012","32"," Walgreen","72184",NULL,"2714",NULL,NULL,NULL,NULL,NULL
"41172","2012","33"," American International Group","71730",NULL,"17798",NULL,NULL,NULL,NULL,NULL
"41173","2012","34"," MetLife","70641",NULL,"6981",NULL,NULL,NULL,NULL,NULL
"41174","2012","35"," Home Depot","70395",NULL,"3883",NULL,NULL,NULL,NULL,NULL
"41175","2012","36"," Medco Health Solutions","70063.3",NULL,"1455.7",NULL,NULL,NULL,NULL,NULL
"41176","2012","37"," Microsoft","69943",NULL,"23150",NULL,NULL,NULL,NULL,NULL
"41177","2012","38"," Target","69865",NULL,"2929",NULL,NULL,NULL,NULL,NULL
"41178","2012","39"," Boeing","68735",NULL,"4018",NULL,NULL,NULL,NULL,NULL
"41179","2012","40"," Pfizer","67932",NULL,"10009",NULL,NULL,NULL,NULL,NULL
"41180","2012","41"," PepsiCo","66504",NULL,"6443",NULL,NULL,NULL,NULL,NULL
"41181","2012","42"," Johnson & Johnson","65030",NULL,"9672",NULL,NULL,NULL,NULL,NULL
"41182","2012","43"," State Farm Insurance Cos.","64305.1",NULL,"845",NULL,NULL,NULL,NULL,NULL
"41183","2012","44"," Dell","62071",NULL,"3492",NULL,NULL,NULL,NULL,NULL
"41184","2012","45"," WellPoint","60710.7",NULL,"2646.7",NULL,NULL,NULL,NULL,NULL
"41185","2012","46"," Caterpillar","60138",NULL,"4928",NULL,NULL,NULL,NULL,NULL
"41186","2012","47"," Dow Chemical","59985",NULL,"2742",NULL,NULL,NULL,NULL,NULL
"41187","2012","48"," United Technologies","58190",NULL,"4979",NULL,NULL,NULL,NULL,NULL
"41188","2012","49"," Comcast","55842",NULL,"4160",NULL,NULL,NULL,NULL,NULL
"41189","2012","50"," Kraft Foods","54365",NULL,"3527",NULL,NULL,NULL,NULL,NULL
"41190","2012","51"," Intel","53999",NULL,"12942",NULL,NULL,NULL,NULL,NULL
"41191","2012","52"," United Parcel Service","53105",NULL,"3804",NULL,NULL,NULL,NULL,NULL
"41192","2012","53"," Best Buy","50272",NULL,"1277",NULL,NULL,NULL,NULL,NULL
"41193","2012","54"," Lowes","50208",NULL,"1839",NULL,NULL,NULL,NULL,NULL
"41194","2012","55"," Prudential Financial","49045",NULL,"3666",NULL,NULL,NULL,NULL,NULL
"41195","2012","56"," Amazon.com","48077",NULL,"631",NULL,NULL,NULL,NULL,NULL
"41196","2012","57"," Merck","48047",NULL,"6272",NULL,NULL,NULL,NULL,NULL
"41197","2012","58"," Lockheed Martin","46692",NULL,"2655",NULL,NULL,NULL,NULL,NULL
"41198","2012","59"," Coca-Cola","46542",NULL,"8572",NULL,NULL,NULL,NULL,NULL
"41199","2012","60"," Express Scripts Holding","46128.3",NULL,"1275.8",NULL,NULL,NULL,NULL,NULL
"41200","2012","61"," Sunoco","45765",NULL,"-1684",NULL,NULL,NULL,NULL,NULL
"41201","2012","62"," Enterprise Products Partners","44313",NULL,"2046.9",NULL,NULL,NULL,NULL,NULL
"41202","2012","63"," Safeway","43630.2",NULL,"516.7",NULL,NULL,NULL,NULL,NULL
"41203","2012","64"," Cisco Systems","43218",NULL,"6490",NULL,NULL,NULL,NULL,NULL
"41204","2012","65"," Sears Holdings","41567",NULL,"-3140",NULL,NULL,NULL,NULL,NULL
"41205","2012","66"," Walt Disney","40893",NULL,"4807",NULL,NULL,NULL,NULL,NULL
"41206","2012","67"," Johnson Controls","40833",NULL,"1624",NULL,NULL,NULL,NULL,NULL
"41207","2012","68"," Morgan Stanley","39376",NULL,"4110",NULL,NULL,NULL,NULL,NULL
"41208","2012","69"," Sysco","39323.5",NULL,"1152",NULL,NULL,NULL,NULL,NULL
"41209","2012","70"," FedEx","39304",NULL,"1452",NULL,NULL,NULL,NULL,NULL
"41210","2012","71"," Abbott Laboratories","38851.3",NULL,"4728.4",NULL,NULL,NULL,NULL,NULL
"41211","2012","72"," DuPont","38719",NULL,"3474",NULL,NULL,NULL,NULL,NULL
"41212","2012","73"," Google","37905",NULL,"9737",NULL,NULL,NULL,NULL,NULL
"41213","2012","74"," Hess","37871",NULL,"1703",NULL,NULL,NULL,NULL,NULL
"41214","2012","75"," Supervalu","37534",NULL,"-1510",NULL,NULL,NULL,NULL,NULL
"41215","2012","76"," United Continental Holdings","37110",NULL,"840",NULL,NULL,NULL,NULL,NULL
"41216","2012","77"," Honeywell International","37059",NULL,"2067",NULL,NULL,NULL,NULL,NULL
"41217","2012","78"," CHS","36915.8",NULL,"961.4",NULL,NULL,NULL,NULL,NULL
