"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"2501","2014","1","Wal-Mart Stores","476294","1.5","16022","-5.7","204751","246805",NULL,NULL
"2502","2014","2","Exxon Mobil","407666","-9.4","32580","-27.4","346808","422098",NULL,NULL
"2503","2014","3","Chevron","220356","-5.8","21423","-18.2","253753","227014",NULL,NULL
"2504","2014","4","Berkshire Hathaway","182150","12.1","19476","31.4","484931","308003",NULL,NULL
"2505","2014","5","Apple","170910","9.2","37037","-11.3","207000","479069",NULL,NULL
"2506","2014","6","Phillips 66","161175","-4.9","3726","-9.7","49798","45282",NULL,NULL
"2507","2014","7","General Motors","155427","2.1","5346","-13.6","166344","54720",NULL,NULL
"2508","2014","8","Ford Motor","146917","9.4","7155","26.3","202026","61523",NULL,NULL
"2509","2014","9","General Electric","146231","-0.4","13057","-4.3","656560","259547",NULL,NULL
"2510","2014","10","Valero Energy","137758","-0.4","2720","30.6","47260","28276",NULL,NULL
"2511","2014","11","AT&T","128752","1","18249","151.2","277787","182604",NULL,NULL
"2512","2014","12","CVS Caremark","126761","2.9","4592","18.4","71526","88516",NULL,NULL
"2513","2014","13","Fannie Mae","125696","-1.2","83963","387.6","3270110","4516",NULL,NULL
"2514","2014","14","UnitedHealth Group","122489","10.7","5625","1.8","81882","81103",NULL,NULL
"2515","2014","15","McKesson","122455","-0.2","1338","-4.6","34786","40633",NULL,NULL
"2516","2014","16","Verizon Communications","120550","4.1","11497","1213","274098","196994",NULL,NULL
"2517","2014","17","Hewlett-Packard","112298","-6.7","5113","0","105676","61326",NULL,NULL
"2518","2014","18","J.P. Morgan Chase & Co.","106283","-1.8","17923","-15.8","2415690","229792",NULL,NULL
"2519","2014","19","Costco Wholesale","105156","6.1","2039","19.3","30283","49125",NULL,NULL
"2520","2014","20","Express Scripts Holding","104620","10.8","1845","40.5","53548","58272",NULL,NULL
"2521","2014","21","Bank of America","101697","1.6","11431","172.9","2102270","181086",NULL,NULL
"2522","2014","22","Cardinal Health","101093","-6","334","-68.8","25819","23995",NULL,NULL
"2523","2014","23","International Business Machines","99751","-4.6","16483","-0.7","126223","200447",NULL,NULL
"2524","2014","24","Kroger","98375","1.7","1519","1.5","29281","22294",NULL,NULL
"2525","2014","25","Marathon Petroleum","93991","22.4","2112","-37.7","28385","25490",NULL,NULL
"2526","2014","26","Citigroup","93629","3.2","13673","81.3","1880380","144627",NULL,NULL
"2527","2014","27","Archer Daniels Midland","89804","0.9","1342","9.7","43752","28453",NULL,NULL
"2528","2014","28","AmerisourceBergen","89140","11.8","434","-39.7","18919","15033",NULL,NULL
"2529","2014","29","Wells Fargo","88069","-3.5","21878","15.8","1527020","261217",NULL,NULL
"2530","2014","30","Boeing","86623","6","4585","17.6","92663","93289",NULL,NULL
"2531","2014","31","Procter & Gamble","84167","-1.1","11312","5.2","139263","218539",NULL,NULL
"2532","2014","32","Freddie Mac","81221","0.7","48668","343.2","1966060","2509",NULL,NULL
"2533","2014","33","Home Depot","78812","5.4","5385","18.7","40518","109306",NULL,NULL
"2534","2014","34","Microsoft","77849","5.6","21863","28.8","142431","340246",NULL,NULL
"2535","2014","35","Amazon.com","74452","21.9","274","0","40159","154480",NULL,NULL
"2536","2014","36","Target","72596","-1","1971","-34.3","44553","38313",NULL,NULL
"2537","2014","37","Walgreen Co.","72217","0.8","2450","15.2","35481","62739",NULL,NULL
"2538","2014","38","WellPoint","71458","15.8","2490","-6.2","59575","28118",NULL,NULL
"2539","2014","39","Johnson & Johnson","71312","6.1","13831","27.4","132683","277883",NULL,NULL
"2540","2014","40","American International Group","68678","-2.1","9085","164.3","541329","73218",NULL,NULL
"2541","2014","41","State Farm Insurance Cos.","68291","4.6","5189","64.3","224694","0",NULL,NULL
"2542","2014","42","MetLife","68202","0","3368","154.4","885296","59322",NULL,NULL
"2543","2014","43","PepsiCo","66415","1.4","6740","9.1","77478","128267",NULL,NULL
"2544","2014","44","Comcast","64657","3.3","6816","9.9","158813","130431",NULL,NULL
"2545","2014","45","United Technologies","62935","5.3","5721","11.5","90594","106936",NULL,NULL
"2546","2014","46","Google","60629","16.1","12920","20.3","110920","375416",NULL,NULL
"2547","2014","47","ConocoPhillips","59433","-6.2","9156","8.6","118057","86256",NULL,NULL
"2548","2014","48","Dow Chemical","57080","0.5","4787","305","69501","59077",NULL,NULL
"2549","2014","49","Caterpillar","55656","-15.5","3789","-33.3","84896","63380",NULL,NULL
"2550","2014","50","United Parcel Service","55438","2.4","4372","441.8","36212","89525",NULL,NULL
"2551","2014","51","Pfizer","53785","-12.2","22003","51","172101","205360",NULL,NULL
"2552","2014","52","Lowes Companies","53417","5.7","2286","16.7","32732","49818",NULL,NULL
"2553","2014","53","Intel Corporation","52708","-1.2","9620","-12.6","92358","128347",NULL,NULL
"2554","2014","54","Energy Transfer Equity, L.P.","48750","182","196","-35.1","50330","26097",NULL,NULL
"2555","2014","55","Cisco Systems, Inc.","48607","5.5","9983","24.2","101191","115466",NULL,NULL
"2556","2014","56","Enterprise Products Partners L.P.","47727","12.1","2597","7.3","40139","64898",NULL,NULL
"2557","2014","57","Aetna Inc.","47295","29.2","1914","15.4","49872","27191",NULL,NULL
"2558","2014","58","The Coca-Cola Company","46854","-2.4","8584","-4.8","90055","170331",NULL,NULL
"2559","2014","59","Lockheed Martin Corporation","45358","-3.9","2981","8.6","36188","52470",NULL,NULL
"2560","2014","60","Best Buy Co., Inc.","45225","0.3","532","0","14013","9165",NULL,NULL
"2561","2014","61","The Walt Disney Company","45041","6.5","6136","8","81241","140287",NULL,NULL
"2562","2014","62","CHS Inc.","44480","9.6","992","-21.3","13504","0",NULL,NULL
"2563","2014","63","Sysco Corporation","44411","4.8","992","-11.5","12664","21134",NULL,NULL
"2564","2014","64","FedEx Corporation","44287","3.8","1561","-23.2","33567","39173",NULL,NULL
"2565","2014","65","Merck & Co., Inc.","44033","-6.8","4404","-28.6","105645","166939",NULL,NULL
"2566","2014","66","INTL FCStone Inc.","43768","-35.6","19","50.8","2848","358.7",NULL,NULL
"2567","2014","67","Safeway Inc.","42982","-2.8","3508","488","17220","8507",NULL,NULL
"2568","2014","68","Johnson Controls, Inc.","42730","1.8","1178","-3.9","31518","31421",NULL,NULL
"2569","2014","69","Ingram Micro Inc.","42554","12.5","311","1.5","11791","4568",NULL,NULL
"2570","2014","70","Plains GP Holdings, L.P.","42249","11.8","15","400","21453","3800",NULL,NULL
"2571","2014","71","World Fuel Services Corporation","41562","6.7","203","7.3","4739","3170",NULL,NULL
"2572","2014","72","Prudential Financial, Inc.","41471","-51.1","-667","-242.2","731781","39190",NULL,NULL
"2573","2014","73","Humana Inc.","41313","5.6","1231","0.7","20735","17362",NULL,NULL
"2574","2014","74","The Goldman Sachs Group, Inc.","40874","-1.9","8040","7.6","911507","73646",NULL,NULL
"2575","2014","75","Tesoro Corporation","39193","20.7","412","-44.5","13389","6667",NULL,NULL
"2576","2014","76","Liberty Mutual Holding Company Inc.","39133","5.9","1743","110.3","121282","0",NULL,NULL
"2577","2014","77","Honeywell International Inc.","39055","3.7","3924","34.1","45435","72537",NULL,NULL
"2578","2014","78","United Continental Holdings, Inc.","38279","3","571","0","36812","16582",NULL,NULL
"2579","2014","79","HCA Holdings, Inc.","38040","3.4","1556","-3.1","28831","23297",NULL,NULL
"2580","2014","80","Deere & Company","37795","4.5","3537","15.4","59521","33568",NULL,NULL
"2581","2014","81","Delta Air Lines, Inc.","37773","3","10540","944.6","52252","29431",NULL,NULL
"2582","2014","82","Oracle Corporation","37180","0.2","10925","9.5","81812","182413",NULL,NULL
"2583","2014","83","Morgan Stanley","36848","13.9","2932","4211","832702","61581",NULL,NULL
"2584","2014","84","Hess Corporation","36694","-4.4","5052","149.5","42754","26962",NULL,NULL
"2585","2014","85","Twenty-First Century Fox, Inc.","36566","8.5","7097","502","50944","72148",NULL,NULL
"2586","2014","86","E.I. du Pont de Nemours and Company","36475","-7.7","4848","73.9","51499","61482",NULL,NULL
"2587","2014","87","Sears Holdings Corporation","36188","-9.2","-1365","0","18261","5083",NULL,NULL
"2588","2014","88","New York Life Insurance Company","36026","5","1326","-0.5","236749","0",NULL,NULL
"2589","2014","89","Mondelez International, Inc.","35299","0.8","3915","27.6","72557","58768",NULL,NULL
"2590","2014","90","American Express Company","34932","3.3","5359","19.6","153375","95663",NULL,NULL
"2591","2014","91","Nationwide Mutual Insurance Co.","34542","5.5","797","6.5","171234","0",NULL,NULL
"2592","2014","92","The Allstate Corporation","34507","3.6","2280","-1.1","123520","25296",NULL,NULL
"2593","2014","93","Tyson Foods, Inc.","34482","3.6","778","33.4","12177","14976",NULL,NULL
"2594","2014","94","Supervalu Inc.","34327","-4.9","-1466","0","11034","1776",NULL,NULL
"2595","2014","95","TIAA-CREF","33817","5.2","1722","-16.4","498728","0",NULL,NULL
"2596","2014","96","Massachusetts Mutual Life Insurance Company","33350","1.5","193","-82.6","241178","0",NULL,NULL
"2597","2014","97","CIGNA Corporation","32380","11.2","1476","-9.1","54336","22727",NULL,NULL
