"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"3001","2013","1","Wal-Mart Stores, Inc.","469162","5","16999","8.3","203105","246374",NULL,NULL
"3002","2013","2","Exxon Mobil Corporation","449886","-0.7","44880","9.3","333795","403733",NULL,NULL
"3003","2013","3","Chevron Corporation","233899","-4.8","26179","-2.7","232982","230831",NULL,NULL
"3004","2013","4","Phillips 66","169551","0","4124","0","48073","43487",NULL,NULL
"3005","2013","5","Berkshire Hathaway Inc.","162463","13.1","14824","44.6","427452","256768",NULL,NULL
"3006","2013","6","Apple, Inc.","156508","44.6","41733","61","176064","415683",NULL,NULL
"3007","2013","7","General Motors Company","152256","1.3","6188","-32.7","149422","38014.5",NULL,NULL
"3008","2013","8","General Electric Company","146874","-0.5","13641","-3.6","685328","240408",NULL,NULL
"3009","2013","9","Valero Energy Corporation","138286","10.5","2083","-0.3","44477","25152.9",NULL,NULL
"3010","2013","10","Ford Motor Company","134252","-1.5","5665","-72","190554","51577.6",NULL,NULL
"3011","2013","11","AT&T Inc.","127434","0.6","7264","84.2","272315","201487",NULL,NULL
"3012","2013","12","Fannie Mae","127230","-7.4","17220","0","3222420","793.3",NULL,NULL
"3013","2013","13","CVS Caremark Corporation","123133","14.3","3876.9","12","65912","67703.4",NULL,NULL
"3014","2013","14","McKesson Corporation","122734","9.5","1403","16.7","33093","25142.7",NULL,NULL
"3015","2013","15","Hewlett-Packard Company","120357","-5.4","-12650","-278.8","108768","46345.4",NULL,NULL
"3016","2013","16","Verizon Communications Inc.","115846","4.5","875","-63.6","225222","140484",NULL,NULL
"3017","2013","17","UnitedHealth Group Incorporated","110618","8.6","5526","7.5","80885","58636",NULL,NULL
"3018","2013","18","J.P. Morgan Chase & Co.","108184","-2.4","21284","12.2","2359140","181652",NULL,NULL
"3019","2013","19","Cardinal Health, Inc.","107552","4.8","1069","11.5","24260","14186.6",NULL,NULL
"3020","2013","20","International Business Machines Corporation","104507","-2.3","16604","4.7","119213","237725",NULL,NULL
"3021","2013","21","Bank of America Corporation","100078","-13","4188","189.6","2209970","131791",NULL,NULL
"3022","2013","22","Costco Wholesale Corporation","99137","11.5","1709","16.9","27140","46303.4",NULL,NULL
"3023","2013","23","The Kroger Company","96751.3","7.1","1496.5","148.6","24651.5","17261.4",NULL,NULL
"3024","2013","24","Express Scripts Holding Company","94416.7","104.7","1312.9","2.9","58111.2","47161.9",NULL,NULL
"3025","2013","25","Wells Fargo & Company","91247","4.2","18897","19.1","1422970","194970",NULL,NULL
"3026","2013","26","Citigroup Inc.","90769","-11.8","7541","-31.9","1864660","134435",NULL,NULL
"3027","2013","27","Archer-Daniels-Midland Company","89038","10.4","1223","-39.9","41553","22214.3",NULL,NULL
"3028","2013","28","The Procter & Gamble Company","85120","3.1","10756","-8.8","132244","210501",NULL,NULL
"3029","2013","29","Prudential Financial, Inc.","84838","73","469","-87.2","709298","27312.4",NULL,NULL
"3030","2013","30","The Boeing Company","81698","18.9","3900","-2.9","88896","64916.8",NULL,NULL
"3031","2013","31","Freddie Mac","80635","-8.6","10982","0","1989860","440.1",NULL,NULL
"3032","2013","32","AmerisourceBergen Corp.","79720.5","-0.6","719","1.7","15444.1","11842.4",NULL,NULL
