"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"1001","2017","1","Walmart","485873","0.8","13643","-7.2","198825","218619","0","0"
"1002","2017","2","Berkshire Hathaway","223604","6.1","24074","0","620854","411035","2","2"
"1003","2017","3","Apple","215639","-7.7","45687","-14.4","321686","753718","0","0"
"1004","2017","4","Exxon Mobil","205004","-16.7","7840","-51.5","330314","340056","-2","2"
"1005","2017","5","McKesson","192487","6.2","2258","53","56563","31439","0","0"
"1006","2017","6","UnitedHealth Group","184840","17.7","7017","20.7","122810","157793","0","0"
"1007","2017","7","CVS Health","177526","15.8","5317","1.5","94462","81310","0","0"
"1008","2017","8","General Motors","166380","9.2","9427","-2.7","221690","52968","0","0"
"1009","2017","9","AT&T","163786","11.6","12976","-2.8","403821","255679","1","1"
"1010","2017","10","Ford Motor","151800","1.5","4596","-37.7","237951","46349","-1","1"
"1011","2017","11","AmerisourceBergen","146850","8","1427.9","0","33656","19229","1","1"
"1012","2017","12","Amazon.com","135987","27.1","2371","297.8","83402","423031","6","6"
"1013","2017","13","General Electric","126661","-9.8","8831","0","365183","259520","-2","2"
"1014","2017","14","Verizon Communications","125980","-4.3","13127","-26.6","244180","198900","-1","1"
"1015","2017","15","Cardinal Health","121546","18.5","1427","17.4","34122","25725","6","6"
"1016","2017","16","Costco","118719","2.2","2350","-1.1","33163","73606","-1","1"
"1017","2017","17","Walgreens Boots Alliance","117351","13.4","4173","-1.1","72688","89645","2","2"
"1018","2017","18","Kroger","115337","5","1975","-3.1","36505","26961","-1","1"
"1019","2017","19","Chevron","107567","-18","-497","-110.8","260078","203263","-5","5"
"1020","2017","20","Fannie Mae","107162","-2.9","12313","12.4","3287970","3011","-4","4"
"1021","2017","21","J.P. Morgan Chase","105486","4.4","24733","1.2","2490970","313761","2","2"
"1022","2017","22","Express Scripts Holding","100288","-1.4","3404.4","37.5","51745","39567","0","0"
"1023","2017","23","Home Depot","94595","6.9","7957","13.5","42966","176368","5","5"
"1024","2017","24","Boeing","94571","-1.6","4895","-5.4","89997","107546","0","0"
"1025","2017","25","Wells Fargo","94176","4.6","21938","-4.2","1930120","278516","2","2"
"1026","2017","26","Bank of America Corp.","93662","0.7","17906","12.7","2187700","236182","0","0"
"1027","2017","27","Alphabet","90272","20.4","19478","19.1","167497","579426","9","9"
"1028","2017","28","Microsoft","85320","-8.8","16798","37.8","193694","508935","-3","3"
"1029","2017","29","Anthem","84863","7.2","2469.8","-3.5","65083","43813","4","4"
"1030","2017","30","Citigroup","82386","-6.7","14912","-13.5","1792080","165394","-1","1"
"1031","2017","31","Comcast","80403","7.9","8695","6.5","180500","178258","6","6"
"1032","2017","32","IBM","79919","-3.1","11872","-10","117470","164251","-1","1"
