"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"27960","2010","1"," Wal-Mart Stores","408214",NULL,"14335",NULL,NULL,NULL,NULL,NULL
"27961","2010","2"," Exxon Mobil","284650",NULL,"19280",NULL,NULL,NULL,NULL,NULL
"27962","2010","3"," Chevron","163527",NULL,"10483",NULL,NULL,NULL,NULL,NULL
"27963","2010","4"," General Electric","156779",NULL,"11025",NULL,NULL,NULL,NULL,NULL
"27964","2010","5"," Bank of America Corp.","150450",NULL,"6276",NULL,NULL,NULL,NULL,NULL
"27965","2010","6"," ConocoPhillips","139515",NULL,"4858",NULL,NULL,NULL,NULL,NULL
"27966","2010","7"," AT&T","123018",NULL,"12535",NULL,NULL,NULL,NULL,NULL
"27967","2010","8"," Ford Motor","118308",NULL,"2717",NULL,NULL,NULL,NULL,NULL
"27968","2010","9"," J.P. Morgan Chase & Co.","115632",NULL,"11728",NULL,NULL,NULL,NULL,NULL
"27969","2010","10"," Hewlett-Packard","114552",NULL,"7660",NULL,NULL,NULL,NULL,NULL
"27970","2010","11"," Berkshire Hathaway","112493",NULL,"8055",NULL,NULL,NULL,NULL,NULL
"27971","2010","12"," Citigroup","108785",NULL,"-1606",NULL,NULL,NULL,NULL,NULL
"27972","2010","13"," Verizon Communications","107808",NULL,"3651",NULL,NULL,NULL,NULL,NULL
"27973","2010","14"," McKesson","106632",NULL,"823",NULL,NULL,NULL,NULL,NULL
"27974","2010","15"," General Motors","104589",NULL,"0",NULL,NULL,NULL,NULL,NULL
"27975","2010","16"," American International Group","103189",NULL,"-10949",NULL,NULL,NULL,NULL,NULL
"27976","2010","17"," Cardinal Health","99612.9",NULL,"1151.6",NULL,NULL,NULL,NULL,NULL
"27977","2010","18"," CVS Caremark","98729",NULL,"3696",NULL,NULL,NULL,NULL,NULL
"27978","2010","19"," Wells Fargo","98636",NULL,"12275",NULL,NULL,NULL,NULL,NULL
"27979","2010","20"," International Business Machines","95758",NULL,"13425",NULL,NULL,NULL,NULL,NULL
"27980","2010","21"," UnitedHealth Group","87138",NULL,"3822",NULL,NULL,NULL,NULL,NULL
