"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"31641","2006","1"," Exxon Mobil (XOM)","339938",NULL,"36130",NULL,NULL,NULL,NULL,NULL
"31642","2006","2"," Wal-Mart Stores (WMT)","315654",NULL,"11231",NULL,NULL,NULL,NULL,NULL
"31643","2006","3"," General Motors (GM)","192604",NULL,"-10600",NULL,NULL,NULL,NULL,NULL
"31644","2006","4"," Chevron (CVX)","189481",NULL,"14099",NULL,NULL,NULL,NULL,NULL
"31645","2006","5"," Ford Motor (F)","177210",NULL,"2024",NULL,NULL,NULL,NULL,NULL
"31646","2006","6"," ConocoPhillips (COP)","166683",NULL,"13529",NULL,NULL,NULL,NULL,NULL
"31647","2006","7"," General Electric (GE)","157153",NULL,"16353",NULL,NULL,NULL,NULL,NULL
"31648","2006","8"," Citigroup (C)","131045",NULL,"24589",NULL,NULL,NULL,NULL,NULL
"31649","2006","9"," American Intl. Group (AIG)","108905",NULL,"10477",NULL,NULL,NULL,NULL,NULL
"31650","2006","10"," Intl. Business Machines (IBM)","91134",NULL,"7934",NULL,NULL,NULL,NULL,NULL
"31651","2006","11"," Hewlett-Packard (HPQ)","86696",NULL,"2398",NULL,NULL,NULL,NULL,NULL
"31652","2006","12"," Bank of America Corp. (BAC)","83980",NULL,"16465",NULL,NULL,NULL,NULL,NULL
"31653","2006","13"," Berkshire Hathaway (BRKA)","81663",NULL,"8528",NULL,NULL,NULL,NULL,NULL
"31654","2006","14"," Home Depot (HD)","81511",NULL,"5838",NULL,NULL,NULL,NULL,NULL
"31655","2006","15"," Valero Energy (VLO)","81362",NULL,"3590",NULL,NULL,NULL,NULL,NULL
"31656","2006","16"," McKesson (MCK)","80514.6",NULL,"-156.7",NULL,NULL,NULL,NULL,NULL
"31657","2006","17"," J.P. Morgan Chase & Co. (JPM)","79902",NULL,"8483",NULL,NULL,NULL,NULL,NULL
"31658","2006","18"," Verizon Communications (VZ)","75111.9",NULL,"7397",NULL,NULL,NULL,NULL,NULL
"31659","2006","19"," Cardinal Health (CAH)","74915.1",NULL,"1050.7",NULL,NULL,NULL,NULL,NULL
"31660","2006","20"," Altria Group (MO)","69148",NULL,"10435",NULL,NULL,NULL,NULL,NULL
"31661","2006","21"," Kroger (KR)","60552.9",NULL,"958",NULL,NULL,NULL,NULL,NULL
"31662","2006","22"," State Farm Insurance Cos","59223.9",NULL,"3241.8",NULL,NULL,NULL,NULL,NULL
"31663","2006","23"," Marathon Oil (MRO)","58958",NULL,"3032",NULL,NULL,NULL,NULL,NULL
"31664","2006","24"," Procter & Gamble (PG)","56741",NULL,"7257",NULL,NULL,NULL,NULL,NULL
"31665","2006","25"," Dell (DELL)","55908",NULL,"3572",NULL,NULL,NULL,NULL,NULL
"31666","2006","26"," Boeing (BA)","54848",NULL,"2572",NULL,NULL,NULL,NULL,NULL
"31667","2006","27"," AmerisourceBergen (ABC)","54589.6",NULL,"264.6",NULL,NULL,NULL,NULL,NULL
"31668","2006","28"," Costco Wholesale (COST)","52935.2",NULL,"1063.1",NULL,NULL,NULL,NULL,NULL
"31669","2006","29"," Target (TGT)","52620",NULL,"2408",NULL,NULL,NULL,NULL,NULL
"31670","2006","30"," Morgan Stanley (MS)","52498",NULL,"4939",NULL,NULL,NULL,NULL,NULL
"31671","2006","31"," Pfizer (PFE)","51353",NULL,"8085",NULL,NULL,NULL,NULL,NULL
"31672","2006","32"," Johnson & Johnson (JNJ)","50514",NULL,"10411",NULL,NULL,NULL,NULL,NULL
"31673","2006","33"," Sears Holdings (SHLD)","49124",NULL,"858",NULL,NULL,NULL,NULL,NULL
"31674","2006","34"," Merrill Lynch (MER)","47783",NULL,"5116",NULL,NULL,NULL,NULL,NULL
"31675","2006","35"," MetLife (MET)","46983",NULL,"4714",NULL,NULL,NULL,NULL,NULL
"31676","2006","36"," Dow Chemical (DOW)","46307",NULL,"4515",NULL,NULL,NULL,NULL,NULL
"31677","2006","37"," UnitedHealth Group (UNH)","45365",NULL,"3300",NULL,NULL,NULL,NULL,NULL
"31678","2006","38"," Wellpoint (WLP)","45136",NULL,"2463.8",NULL,NULL,NULL,NULL,NULL
"31679","2006","39"," AT&T (T)","43862",NULL,"4786",NULL,NULL,NULL,NULL,NULL
"31680","2006","40"," Time Warner (TWX)","43652",NULL,"2905",NULL,NULL,NULL,NULL,NULL
"31681","2006","41"," Goldman Sachs Group (GS)","43391",NULL,"5626",NULL,NULL,NULL,NULL,NULL
"31682","2006","42"," Lowes (LOW)","43243",NULL,"2771",NULL,NULL,NULL,NULL,NULL
"31683","2006","43"," United Technologies (UTX)","42725",NULL,"3069",NULL,NULL,NULL,NULL,NULL
"31684","2006","44"," United Parcel Service (UPS)","42581",NULL,"3870",NULL,NULL,NULL,NULL,NULL
"31685","2006","45"," Walgreen (WAG)","42201.6",NULL,"1559.5",NULL,NULL,NULL,NULL,NULL
"31686","2006","46"," Wells Fargo (WFC)","40407",NULL,"7671",NULL,NULL,NULL,NULL,NULL
"31687","2006","47"," Albertsons (ABS)","40397",NULL,"446",NULL,NULL,NULL,NULL,NULL
"31688","2006","48"," Microsoft (MSFT)","39788",NULL,"12254",NULL,NULL,NULL,NULL,NULL
"31689","2006","49"," Intel (INTC)","38826",NULL,"8664",NULL,NULL,NULL,NULL,NULL
"31690","2006","50"," Safeway (SWY)","38416",NULL,"561.1",NULL,NULL,NULL,NULL,NULL
"31691","2006","51"," Medco Health Solutions (MHS)","37870.9",NULL,"602",NULL,NULL,NULL,NULL,NULL
"31692","2006","52"," Lockheed Martin (LMT)","37213",NULL,"1825",NULL,NULL,NULL,NULL,NULL
"31693","2006","53"," CVS (CVS)","37006.2",NULL,"1224.7",NULL,NULL,NULL,NULL,NULL
"31694","2006","54"," Motorola (MOT)","36843",NULL,"4578",NULL,NULL,NULL,NULL,NULL
"31695","2006","55"," Caterpillar (CAT)","36339",NULL,"2854",NULL,NULL,NULL,NULL,NULL
"31696","2006","56"," Archer Daniels Midland (ADM)","35943.8",NULL,"1044.4",NULL,NULL,NULL,NULL,NULL
"31697","2006","57"," Wachovia Corp. (WB)","35908",NULL,"6643",NULL,NULL,NULL,NULL,NULL
"31698","2006","58"," Allstate (ALL)","35383",NULL,"1765",NULL,NULL,NULL,NULL,NULL
