"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"30139","2007","1"," Wal-Mart Stores","351139",NULL,"11284",NULL,NULL,NULL,NULL,NULL
"30140","2007","2"," Exxon Mobil","347254",NULL,"39500",NULL,NULL,NULL,NULL,NULL
"30141","2007","3"," General Motors","207349",NULL,"-1978",NULL,NULL,NULL,NULL,NULL
"30142","2007","4"," Chevron","200567",NULL,"17138",NULL,NULL,NULL,NULL,NULL
"30143","2007","5"," ConocoPhillips","172451",NULL,"15550",NULL,NULL,NULL,NULL,NULL
"30144","2007","6"," General Electric","168307",NULL,"20829",NULL,NULL,NULL,NULL,NULL
"30145","2007","7"," Ford Motor","160126",NULL,"-12613",NULL,NULL,NULL,NULL,NULL
"30146","2007","8"," Citigroup","146777",NULL,"21538",NULL,NULL,NULL,NULL,NULL
"30147","2007","9"," Bank of America Corp.","117017",NULL,"21133",NULL,NULL,NULL,NULL,NULL
"30148","2007","10"," American Intl. Group","113194",NULL,"14048",NULL,NULL,NULL,NULL,NULL
"30149","2007","11"," J.P. Morgan Chase & Co.","99973",NULL,"14444",NULL,NULL,NULL,NULL,NULL
"30150","2007","12"," Berkshire Hathaway","98539",NULL,"11015",NULL,NULL,NULL,NULL,NULL
"30151","2007","13"," Verizon Communications","93221",NULL,"6197",NULL,NULL,NULL,NULL,NULL
"30152","2007","14"," Hewlett-Packard","91658",NULL,"6198",NULL,NULL,NULL,NULL,NULL
"30153","2007","15"," Intl. Business Machines","91424",NULL,"9492",NULL,NULL,NULL,NULL,NULL
"30154","2007","16"," Valero Energy","91051",NULL,"5463",NULL,NULL,NULL,NULL,NULL
"30155","2007","17"," Home Depot","90837",NULL,"5761",NULL,NULL,NULL,NULL,NULL
"30156","2007","18"," McKesson","88050",NULL,"751",NULL,NULL,NULL,NULL,NULL
"30157","2007","19"," Cardinal Health","81895.1",NULL,"1000.1",NULL,NULL,NULL,NULL,NULL
"30158","2007","20"," Morgan Stanley","76688",NULL,"7472",NULL,NULL,NULL,NULL,NULL
"30159","2007","21"," UnitedHealth Group","71542",NULL,"4159",NULL,NULL,NULL,NULL,NULL
"30160","2007","22"," Merrill Lynch","70591",NULL,"7499",NULL,NULL,NULL,NULL,NULL
"30161","2007","23"," Altria Group","70324",NULL,"12022",NULL,NULL,NULL,NULL,NULL
"30162","2007","24"," Goldman Sachs Group","69353",NULL,"9537",NULL,NULL,NULL,NULL,NULL
"30163","2007","25"," Procter & Gamble","68222",NULL,"8684",NULL,NULL,NULL,NULL,NULL
"30164","2007","26"," Kroger","66111.2",NULL,"1114.9",NULL,NULL,NULL,NULL,NULL
"30165","2007","27"," AT&T","63055",NULL,"7356",NULL,NULL,NULL,NULL,NULL
"30166","2007","28"," Boeing","61530",NULL,"2215",NULL,NULL,NULL,NULL,NULL
"30167","2007","29"," AmerisourceBergen","61203.1",NULL,"467.7",NULL,NULL,NULL,NULL,NULL
"30168","2007","30"," Marathon Oil","60643",NULL,"5234",NULL,NULL,NULL,NULL,NULL
"30169","2007","31"," State Farm Insurance Cos","60528",NULL,"5315.5",NULL,NULL,NULL,NULL,NULL
"30170","2007","32"," Costco Wholesale","60151.2",NULL,"1103.2",NULL,NULL,NULL,NULL,NULL
"30171","2007","33"," Target","59490",NULL,"2787",NULL,NULL,NULL,NULL,NULL
"30172","2007","34"," Dell","57095",NULL,"2614",NULL,NULL,NULL,NULL,NULL
"30173","2007","35"," Wellpoint","56953",NULL,"3094.9",NULL,NULL,NULL,NULL,NULL
"30174","2007","36"," Johnson & Johnson","53324",NULL,"11053",NULL,NULL,NULL,NULL,NULL
"30175","2007","37"," MetLife","53275",NULL,"6293",NULL,NULL,NULL,NULL,NULL
"30176","2007","38"," Sears Holdings","53012",NULL,"1490",NULL,NULL,NULL,NULL,NULL
"30177","2007","39"," Pfizer","52415",NULL,"19337",NULL,NULL,NULL,NULL,NULL
"30178","2007","40"," Dow Chemical","49124",NULL,"3724",NULL,NULL,NULL,NULL,NULL
"30179","2007","41"," Wells Fargo","47979",NULL,"8482",NULL,NULL,NULL,NULL,NULL
"30180","2007","42"," United Technologies","47829",NULL,"3732",NULL,NULL,NULL,NULL,NULL
"30181","2007","43"," United Parcel Service","47547",NULL,"4202",NULL,NULL,NULL,NULL,NULL
"30182","2007","44"," Walgreen","47409",NULL,"1750.6",NULL,NULL,NULL,NULL,NULL
"30183","2007","45"," Lowes","46927",NULL,"3105",NULL,NULL,NULL,NULL,NULL
"30184","2007","46"," Wachovia Corp.","46810",NULL,"7791",NULL,NULL,NULL,NULL,NULL
"30185","2007","47"," Lehman Brothers Holdings","46709",NULL,"4007",NULL,NULL,NULL,NULL,NULL
"30186","2007","48"," Time Warner","44788",NULL,"6552",NULL,NULL,NULL,NULL,NULL
"30187","2007","49"," Microsoft","44282",NULL,"12599",NULL,NULL,NULL,NULL,NULL
"30188","2007","50"," Freddie Mac","44002",NULL,"2211",NULL,NULL,NULL,NULL,NULL
"30189","2007","51"," CVS/Caremark","43813.8",NULL,"1368.9",NULL,NULL,NULL,NULL,NULL
"30190","2007","52"," Motorola","43739",NULL,"3661",NULL,NULL,NULL,NULL,NULL
"30191","2007","53"," Sprint Nextel","43531",NULL,"1329",NULL,NULL,NULL,NULL,NULL
"30192","2007","54"," Medco Health Solutions","42543.7",NULL,"630.2",NULL,NULL,NULL,NULL,NULL
"30193","2007","55"," Caterpillar","41517",NULL,"3537",NULL,NULL,NULL,NULL,NULL
"30194","2007","56"," Safeway","40185",NULL,"870.6",NULL,NULL,NULL,NULL,NULL
"30195","2007","57"," Lockheed Martin","39620",NULL,"2529",NULL,NULL,NULL,NULL,NULL
"30196","2007","58"," Caremark Rx","36750.2",NULL,"1074",NULL,NULL,NULL,NULL,NULL
"30197","2007","59"," Archer Daniels Midland","36596.1",NULL,"1312.1",NULL,NULL,NULL,NULL,NULL
"30198","2007","60"," Sunoco","36081",NULL,"979",NULL,NULL,NULL,NULL,NULL
"30199","2007","61"," Allstate","35796",NULL,"4993",NULL,NULL,NULL,NULL,NULL
"30200","2007","62"," Intel","35382",NULL,"5044",NULL,NULL,NULL,NULL,NULL
"30201","2007","63"," PepsiCo","35137",NULL,"5642",NULL,NULL,NULL,NULL,NULL
"30202","2007","64"," Walt Disney","34285",NULL,"3374",NULL,NULL,NULL,NULL,NULL
"30203","2007","65"," Sysco","32628.4",NULL,"855.3",NULL,NULL,NULL,NULL,NULL
"30204","2007","66"," Prudential Financial","32488",NULL,"3428",NULL,NULL,NULL,NULL,NULL
"30205","2007","67"," Johnson Controls","32413",NULL,"1028",NULL,NULL,NULL,NULL,NULL
"30206","2007","68"," FedEx","32294",NULL,"1806",NULL,NULL,NULL,NULL,NULL
"30207","2007","69"," Honeywell Intl.","31367",NULL,"2083",NULL,NULL,NULL,NULL,NULL
"30208","2007","70"," Ingram Micro","31357.5",NULL,"265.8",NULL,NULL,NULL,NULL,NULL
"30209","2007","71"," Alcoa","30896",NULL,"2248",NULL,NULL,NULL,NULL,NULL
"30210","2007","72"," Best Buy","30848",NULL,"1140",NULL,NULL,NULL,NULL,NULL
"30211","2007","73"," Northrop Grumman","30304",NULL,"1542",NULL,NULL,NULL,NULL,NULL
"30212","2007","74"," DuPont","28982",NULL,"3148",NULL,NULL,NULL,NULL,NULL
"30213","2007","75"," Hess","28720",NULL,"1916",NULL,NULL,NULL,NULL,NULL
"30214","2007","76"," Federated Dept. Stores","28711",NULL,"995",NULL,NULL,NULL,NULL,NULL
"30215","2007","77"," Cisco Systems","28484",NULL,"5580",NULL,NULL,NULL,NULL,NULL
"30216","2007","78"," New York Life Insurance","28365.1",NULL,"1035.4",NULL,NULL,NULL,NULL,NULL
"30217","2007","79"," American Express","27145",NULL,"3707",NULL,NULL,NULL,NULL,NULL
"30218","2007","80"," TIAA-CREF","26756.8",NULL,"2333.8",NULL,NULL,NULL,NULL,NULL
"30219","2007","81"," Washington Mutual","26561",NULL,"3558",NULL,NULL,NULL,NULL,NULL
"30220","2007","82"," Hartford Financial Services","26500",NULL,"2745",NULL,NULL,NULL,NULL,NULL
"30221","2007","83"," Delphi","26392",NULL,"-5464",NULL,NULL,NULL,NULL,NULL
"30222","2007","84"," Comcast","25700",NULL,"2533",NULL,NULL,NULL,NULL,NULL
"30223","2007","85"," Aetna","25568.6",NULL,"1701.7",NULL,NULL,NULL,NULL,NULL
"30224","2007","86"," Tyson Foods","25559",NULL,"-196",NULL,NULL,NULL,NULL,NULL
"30225","2007","87"," HCA","25477",NULL,"1036",NULL,NULL,NULL,NULL,NULL
"30226","2007","88"," News Corp.","25327",NULL,"2314",NULL,NULL,NULL,NULL,NULL
"30227","2007","89"," Travelers Cos.","25090",NULL,"4208",NULL,NULL,NULL,NULL,NULL
"30228","2007","90"," Massachusetts Mutual Life Insurance","24863.4",NULL,"1266",NULL,NULL,NULL,NULL,NULL
"30229","2007","91"," Countrywide Financial","24444.6",NULL,"2674.8",NULL,NULL,NULL,NULL,NULL
"30230","2007","92"," General Dynamics","24212",NULL,"1856",NULL,NULL,NULL,NULL,NULL
"30231","2007","93"," International Paper","24186",NULL,"1050",NULL,NULL,NULL,NULL,NULL
"30232","2007","94"," Coca-Cola","24088",NULL,"5080",NULL,NULL,NULL,NULL,NULL
"30233","2007","95"," Liberty Mutual Ins. Group","23520",NULL,"1626",NULL,NULL,NULL,NULL,NULL
"30234","2007","96"," Raytheon","23274",NULL,"1283",NULL,NULL,NULL,NULL,NULL
"30235","2007","97"," 3M","22923",NULL,"3851",NULL,NULL,NULL,NULL,NULL
"30236","2007","98"," Deere","22768.9",NULL,"1693.8",NULL,NULL,NULL,NULL,NULL
"30237","2007","99"," Merck","22636",NULL,"4433.8",NULL,NULL,NULL,NULL,NULL
"30238","2007","100"," Halliburton","22576",NULL,"2348",NULL,NULL,NULL,NULL,NULL
"30239","2007","101"," AMR","22563",NULL,"231",NULL,NULL,NULL,NULL,NULL
"30240","2007","102"," Abbott Laboratories","22476.3",NULL,"1716.8",NULL,NULL,NULL,NULL,NULL
"30241","2007","103"," Plains All Amer. Pipeline","22444.4",NULL,"285.1",NULL,NULL,NULL,NULL,NULL
"30242","2007","104"," Nationwide","22253",NULL,"2113",NULL,NULL,NULL,NULL,NULL
"30243","2007","105"," Weyerhaeuser","22250",NULL,"453",NULL,NULL,NULL,NULL,NULL
"30244","2007","106"," Lyondell Chemical","22228",NULL,"186",NULL,NULL,NULL,NULL,NULL
"30245","2007","107"," Publix Super Markets","21819.7",NULL,"1097.2",NULL,NULL,NULL,NULL,NULL
"30246","2007","108"," McDonalds","21586.4",NULL,"3544.2",NULL,NULL,NULL,NULL,NULL
"30247","2007","109"," Tech Data","21446.1",NULL,"-97",NULL,NULL,NULL,NULL,NULL
"30248","2007","110"," Humana","21416.5",NULL,"487.4",NULL,NULL,NULL,NULL,NULL
"30249","2007","111"," Electronic Data Systems","21337",NULL,"470",NULL,NULL,NULL,NULL,NULL
"30250","2007","112"," Northwestern Mutual","20726.2",NULL,"829.4",NULL,NULL,NULL,NULL,NULL
"30251","2007","113"," Wyeth","20350.7",NULL,"4196.7",NULL,NULL,NULL,NULL,NULL
"30252","2007","114"," Goodyear Tire & Rubber","20258",NULL,"-330",NULL,NULL,NULL,NULL,NULL
"30253","2007","115"," Emerson Electric","20133",NULL,"1845",NULL,NULL,NULL,NULL,NULL
"30254","2007","116"," J.C. Penney","19903",NULL,"1153",NULL,NULL,NULL,NULL,NULL
"30255","2007","117"," Supervalu","19863.6",NULL,"206.2",NULL,NULL,NULL,NULL,NULL
"30256","2007","118"," Coca-Cola Enterprises","19804",NULL,"-1143",NULL,NULL,NULL,NULL,NULL
"30257","2007","119"," Constellation Energy","19446.1",NULL,"936.4",NULL,NULL,NULL,NULL,NULL
"30258","2007","120"," UAL","19340",NULL,"22876",NULL,NULL,NULL,NULL,NULL
"30259","2007","121"," Apple","19315",NULL,"1989",NULL,NULL,NULL,NULL,NULL
"30260","2007","122"," AutoNation","19314.4",NULL,"316.9",NULL,NULL,NULL,NULL,NULL
"30261","2007","123"," U.S. Bancorp","19109",NULL,"4751",NULL,NULL,NULL,NULL,NULL
"30262","2007","124"," Occidental Petroleum","19029",NULL,"4182",NULL,NULL,NULL,NULL,NULL
"30263","2007","125"," Sara Lee","18539",NULL,"555",NULL,NULL,NULL,NULL,NULL
"30264","2007","126"," Staples","18160.8",NULL,"973.7",NULL,NULL,NULL,NULL,NULL
"30265","2007","127"," Whirlpool","18080",NULL,"433",NULL,NULL,NULL,NULL,NULL
"30266","2007","128"," Tesoro","18002",NULL,"801",NULL,NULL,NULL,NULL,NULL
"30267","2007","129"," Bristol-Myers Squibb","17914",NULL,"1585",NULL,NULL,NULL,NULL,NULL
"30268","2007","130"," Lear","17838.9",NULL,"-707.5",NULL,NULL,NULL,NULL,NULL
"30269","2007","131"," Manpower","17786.5",NULL,"398",NULL,NULL,NULL,NULL,NULL
"30270","2007","132"," Express Scripts","17660",NULL,"474.4",NULL,NULL,NULL,NULL,NULL
"30271","2007","133"," TJX","17516.4",NULL,"738",NULL,NULL,NULL,NULL,NULL
"30272","2007","134"," Rite Aid","17271",NULL,"1273",NULL,NULL,NULL,NULL,NULL
"30273","2007","135"," Loews","17227.6",NULL,"2491.3",NULL,NULL,NULL,NULL,NULL
"30274","2007","136"," Delta Air Lines","17171",NULL,"-6203",NULL,NULL,NULL,NULL,NULL
"30275","2007","137"," Kimberly-Clark","16746.9",NULL,"1499.5",NULL,NULL,NULL,NULL,NULL
"30276","2007","138"," Bear Stearns","16551.4",NULL,"2053.9",NULL,NULL,NULL,NULL,NULL
"30277","2007","139"," Cigna","16547",NULL,"1155",NULL,NULL,NULL,NULL,NULL
"30278","2007","140"," Dominion Resources","16524",NULL,"1380",NULL,NULL,NULL,NULL,NULL
"30279","2007","141"," Paccar","16454.1",NULL,"1496",NULL,NULL,NULL,NULL,NULL
