"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"35627","1998","1"," General Motors","178174",NULL,"6698",NULL,NULL,NULL,NULL,NULL
"35628","1998","2"," Ford Motor","153627",NULL,"6920",NULL,NULL,NULL,NULL,NULL
"35629","1998","3"," Exxon Mobil","122379",NULL,"8460",NULL,NULL,NULL,NULL,NULL
"35630","1998","4"," Wal-Mart Stores","119299",NULL,"3526",NULL,NULL,NULL,NULL,NULL
"35631","1998","5"," General Electric","90840",NULL,"8203",NULL,NULL,NULL,NULL,NULL
"35632","1998","6"," Intl. Business Machines","78508",NULL,"6093",NULL,NULL,NULL,NULL,NULL
"35633","1998","7"," Chrysler","61147",NULL,"2805",NULL,NULL,NULL,NULL,NULL
"35634","1998","8"," Mobil","59978",NULL,"3272",NULL,NULL,NULL,NULL,NULL
"35635","1998","9"," Altria Group","56114",NULL,"6310",NULL,NULL,NULL,NULL,NULL
"35636","1998","10"," AT&T","53261",NULL,"4638",NULL,NULL,NULL,NULL,NULL
"35637","1998","11"," Boeing","45800",NULL,"-178",NULL,NULL,NULL,NULL,NULL
"35638","1998","12"," Texaco","45187",NULL,"2664",NULL,NULL,NULL,NULL,NULL
"35639","1998","13"," State Farm Insurance Cos","43957",NULL,"3833.3",NULL,NULL,NULL,NULL,NULL
"35640","1998","14"," Hewlett-Packard","42895",NULL,"3119",NULL,NULL,NULL,NULL,NULL
"35641","1998","15"," DuPont","41304",NULL,"2405",NULL,NULL,NULL,NULL,NULL
"35642","1998","16"," Sears Roebuck","41296",NULL,"1188",NULL,NULL,NULL,NULL,NULL
"35643","1998","17"," Citigroup","37609",NULL,"3104",NULL,NULL,NULL,NULL,NULL
"35644","1998","18"," Prudential Ins. Co. of America","37073",NULL,"610",NULL,NULL,NULL,NULL,NULL
"35645","1998","19"," ChevronTexaco","36376",NULL,"3256",NULL,NULL,NULL,NULL,NULL
"35646","1998","20"," Procter & Gamble","35764",NULL,"3415",NULL,NULL,NULL,NULL,NULL
"35647","1998","21"," Citicorp","34697",NULL,"3591",NULL,NULL,NULL,NULL,NULL
"35648","1998","22"," Amoco","32836",NULL,"2720",NULL,NULL,NULL,NULL,NULL
"35649","1998","23"," Kmart Holding","32183",NULL,"249",NULL,NULL,NULL,NULL,NULL
"35650","1998","24"," Merrill Lynch","31731",NULL,"1906",NULL,NULL,NULL,NULL,NULL
"35651","1998","25"," J.C. Penney","30546",NULL,"566",NULL,NULL,NULL,NULL,NULL
"35652","1998","26"," American Intl. Group","30519.5",NULL,"3332.3",NULL,NULL,NULL,NULL,NULL
"35653","1998","27"," Chase Manhattan Corp.","30381",NULL,"3708",NULL,NULL,NULL,NULL,NULL
"35654","1998","28"," Verizon Communications","30193.9",NULL,"2454.9",NULL,NULL,NULL,NULL,NULL
"35655","1998","29"," Motorola","29794",NULL,"1180",NULL,NULL,NULL,NULL,NULL
"35656","1998","30"," TIAA-CREF","29348.4",NULL,"1226.6",NULL,NULL,NULL,NULL,NULL
"35657","1998","31"," PepsiCo","29292",NULL,"2142",NULL,NULL,NULL,NULL,NULL
"35658","1998","32"," Lockheed Martin","28069",NULL,"1300",NULL,NULL,NULL,NULL,NULL
"35659","1998","33"," Fannie Mae","27776.9",NULL,"3055.8",NULL,NULL,NULL,NULL,NULL
"35660","1998","34"," Target","27757",NULL,"751",NULL,NULL,NULL,NULL,NULL
"35661","1998","35"," Morgan Stanley","27132",NULL,"2586",NULL,NULL,NULL,NULL,NULL
"35662","1998","36"," Kroger","26567.3",NULL,"411.7",NULL,NULL,NULL,NULL,NULL
"35663","1998","37"," Lucent Technologies","26360",NULL,"541",NULL,NULL,NULL,NULL,NULL
"35664","1998","38"," Intel","25070",NULL,"6945",NULL,NULL,NULL,NULL,NULL
"35665","1998","39"," Allstate","24949",NULL,"3105",NULL,NULL,NULL,NULL,NULL
"35666","1998","40"," SBC Communications","24856",NULL,"1474",NULL,NULL,NULL,NULL,NULL
"35667","1998","41"," United Technologies","24713",NULL,"1072",NULL,NULL,NULL,NULL,NULL
"35668","1998","42"," Compaq Computer","24584",NULL,"1855",NULL,NULL,NULL,NULL,NULL
"35669","1998","43"," MetLife","24374",NULL,"1203",NULL,NULL,NULL,NULL,NULL
"35670","1998","44"," Home Depot","24155.7",NULL,"1160",NULL,NULL,NULL,NULL,NULL
"35671","1998","45"," ConAgra Foods","24002.1",NULL,"615",NULL,NULL,NULL,NULL,NULL
"35672","1998","46"," Merck","23636.9",NULL,"4614.1",NULL,NULL,NULL,NULL,NULL
"35673","1998","47"," BankAmerica Corp.","23585",NULL,"3210",NULL,NULL,NULL,NULL,NULL
"35674","1998","48"," GTE","23260",NULL,"2793.6",NULL,NULL,NULL,NULL,NULL
"35675","1998","49"," Johnson & Johnson","22629",NULL,"3303",NULL,NULL,NULL,NULL,NULL
"35676","1998","50"," Safeway","22483.8",NULL,"557.4",NULL,NULL,NULL,NULL,NULL
"35677","1998","51"," Walt Disney","22473",NULL,"1966",NULL,NULL,NULL,NULL,NULL
"35678","1998","52"," United Parcel Service","22458",NULL,"909",NULL,NULL,NULL,NULL,NULL
"35679","1998","53"," Costco Wholesale","21874.4",NULL,"312.2",NULL,NULL,NULL,NULL,NULL
"35680","1998","54"," Bank of America Corp.","21734",NULL,"3077",NULL,NULL,NULL,NULL,NULL
"35681","1998","55"," Marathon Oil","21057",NULL,"988",NULL,NULL,NULL,NULL,NULL
"35682","1998","56"," BellSouth","20561",NULL,"3261",NULL,NULL,NULL,NULL,NULL
"35683","1998","57"," Enron","20273",NULL,"105",NULL,NULL,NULL,NULL,NULL
"35684","1998","58"," International Paper","20096",NULL,"-151",NULL,NULL,NULL,NULL,NULL
"35685","1998","59"," Cigna","20038",NULL,"1086",NULL,NULL,NULL,NULL,NULL
"35686","1998","60"," Dow Chemical","20018",NULL,"1808",NULL,NULL,NULL,NULL,NULL
"35687","1998","61"," Sara Lee","19734",NULL,"1009",NULL,NULL,NULL,NULL,NULL
"35688","1998","62"," MCI Communications","19653",NULL,"2",NULL,NULL,NULL,NULL,NULL
"35689","1998","63"," Loews","19647.8",NULL,"793.6",NULL,NULL,NULL,NULL,NULL
"35690","1998","64"," Atlantic Richfield","19272",NULL,"1771",NULL,NULL,NULL,NULL,NULL
"35691","1998","65"," American Stores","19138.9",NULL,"280.6",NULL,NULL,NULL,NULL,NULL
"35692","1998","66"," Caterpillar","18925",NULL,"1665",NULL,NULL,NULL,NULL,NULL
"35693","1998","67"," New York Life Insurance","18899.3",NULL,"650.7",NULL,NULL,NULL,NULL,NULL
"35694","1998","68"," Coca-Cola","18868",NULL,"4129",NULL,NULL,NULL,NULL,NULL
"35695","1998","69"," Columbia/HCA Healthcare","18819",NULL,"-305",NULL,NULL,NULL,NULL,NULL
"35696","1998","70"," AMR","18570",NULL,"985",NULL,NULL,NULL,NULL,NULL
"35697","1998","71"," Aetna","18540.2",NULL,"901.1",NULL,NULL,NULL,NULL,NULL
"35698","1998","72"," Xerox","18166",NULL,"1452",NULL,NULL,NULL,NULL,NULL
"35699","1998","73"," American Express","17760",NULL,"1991",NULL,NULL,NULL,NULL,NULL
"35700","1998","74"," J.P. Morgan","17701",NULL,"1465",NULL,NULL,NULL,NULL,NULL
"35701","1998","75"," UAL","17378",NULL,"949",NULL,NULL,NULL,NULL,NULL
"35702","1998","76"," Nabisco Group Holdings","17057",NULL,"381",NULL,NULL,NULL,NULL,NULL
"35703","1998","77"," Lehman Brothers Hldgs.","16883",NULL,"647",NULL,NULL,NULL,NULL,NULL
"35704","1998","78"," Bristol-Myers Squibb","16701.2",NULL,"3204.7",NULL,NULL,NULL,NULL,NULL
"35705","1998","79"," Ingram Micro","16581.5",NULL,"193.6",NULL,NULL,NULL,NULL,NULL
"35706","1998","80"," Supervalu","16551.9",NULL,"175",NULL,NULL,NULL,NULL,NULL
"35707","1998","81"," Duke Energy","16308.9",NULL,"974.4",NULL,NULL,NULL,NULL,NULL
"35708","1998","82"," Ameritech","15998",NULL,"2296",NULL,NULL,NULL,NULL,NULL
"35709","1998","83"," Federated Dept. Stores","15668.3",NULL,"536",NULL,NULL,NULL,NULL,NULL
"35710","1998","84"," ConocoPhillips","15424",NULL,"959",NULL,NULL,NULL,NULL,NULL
"35711","1998","85"," PG&E Corp.","15399.9",NULL,"716",NULL,NULL,NULL,NULL,NULL
"35712","1998","86"," Fleming","15372.7",NULL,"25.4",NULL,NULL,NULL,NULL,NULL
"35713","1998","87"," MediaOne Group, Inc.","15352",NULL,"697",NULL,NULL,NULL,NULL,NULL
"35714","1998","88"," Electronic Data Systems","15235.6",NULL,"730.6",NULL,NULL,NULL,NULL,NULL
"35715","1998","89"," 3M","15070",NULL,"2121",NULL,NULL,NULL,NULL,NULL
"35716","1998","90"," Sprint","14873.9",NULL,"952.5",NULL,NULL,NULL,NULL,NULL
"35717","1998","91"," Eastman Kodak","14713",NULL,"5",NULL,NULL,NULL,NULL,NULL
"35718","1998","92"," Albertsons","14689.5",NULL,"516.8",NULL,NULL,NULL,NULL,NULL
"35719","1998","93"," Honeywell Intl.","14472",NULL,"1170",NULL,NULL,NULL,NULL,NULL
"35720","1998","94"," Sysco","14454.6",NULL,"302.5",NULL,NULL,NULL,NULL,NULL
"35721","1998","95"," Freddie Mac","14399",NULL,"1395",NULL,NULL,NULL,NULL,NULL
"35722","1998","96"," Wachovia Corp.","14329",NULL,"1896",NULL,NULL,NULL,NULL,NULL
"35723","1998","97"," Massey Energy","14298.5",NULL,"146.2",NULL,NULL,NULL,NULL,NULL
"35724","1998","98"," Wyeth","14196",NULL,"2043.1",NULL,NULL,NULL,NULL,NULL
"35725","1998","99"," Archer Daniels Midland","13853.3",NULL,"377.3",NULL,NULL,NULL,NULL,NULL
"35726","1998","100"," Raytheon","13673.5",NULL,"526.8",NULL,NULL,NULL,NULL,NULL
"35727","1998","101"," Delta Air Lines","13590",NULL,"854",NULL,NULL,NULL,NULL,NULL
"35728","1998","102"," Ashland","13567",NULL,"279",NULL,NULL,NULL,NULL,NULL
"35729","1998","103"," Viacom","13504.5",NULL,"793.6",NULL,NULL,NULL,NULL,NULL
"35730","1998","104"," Alcoa","13481.7",NULL,"805.1",NULL,NULL,NULL,NULL,NULL
"35731","1998","105"," McKesson","13478.8",NULL,"133.9",NULL,NULL,NULL,NULL,NULL
"35732","1998","106"," Northwestern Mutual","13429.9",NULL,"689.1",NULL,NULL,NULL,NULL,NULL
"35733","1998","107"," Dynegy","13378.4",NULL,"-102.5",NULL,NULL,NULL,NULL,NULL
"35734","1998","108"," Walgreen","13363",NULL,"436",NULL,NULL,NULL,NULL,NULL
"35735","1998","109"," Hartford Financial Services","13305",NULL,"1332",NULL,NULL,NULL,NULL,NULL
"35736","1998","110"," Time Warner","13294",NULL,"246",NULL,NULL,NULL,NULL,NULL
"35737","1998","111"," Tosco","13281.6",NULL,"212.7",NULL,NULL,NULL,NULL,NULL
"35738","1998","112"," IBP","13258.8",NULL,"117",NULL,NULL,NULL,NULL,NULL
"35739","1998","113"," Bank One Corp.","13219.1",NULL,"1305.7",NULL,NULL,NULL,NULL,NULL
"35740","1998","114"," Winn-Dixie Stores","13218.7",NULL,"204.4",NULL,NULL,NULL,NULL,NULL
"35741","1998","115"," Goodyear Tire & Rubber","13155.1",NULL,"558.7",NULL,NULL,NULL,NULL,NULL
"35742","1998","116"," Georgia-Pacific","13094",NULL,"69",NULL,NULL,NULL,NULL,NULL
"35743","1998","117"," CVS","13086.5",NULL,"37.7",NULL,NULL,NULL,NULL,NULL
"35744","1998","118"," Digital Equipment","13046.8",NULL,"140.9",NULL,NULL,NULL,NULL,NULL
"35745","1998","119"," Deere","12791.4",NULL,"960.1",NULL,NULL,NULL,NULL,NULL
"35746","1998","120"," May Dept. Stores","12685",NULL,"775",NULL,NULL,NULL,NULL,NULL
"35747","1998","121"," Nationwide","12644.4",NULL,"805.6",NULL,NULL,NULL,NULL,NULL
"35748","1998","122"," Southern","12611",NULL,"972",NULL,NULL,NULL,NULL,NULL
"35749","1998","123"," Kimberly-Clark","12546.6",NULL,"901.5",NULL,NULL,NULL,NULL,NULL
"35750","1998","124"," Pfizer","12504",NULL,"2213",NULL,NULL,NULL,NULL,NULL
"35751","1998","125"," Dell","12327",NULL,"944",NULL,NULL,NULL,NULL,NULL
"35752","1998","126"," Emerson Electric","12298.6",NULL,"1121.9",NULL,NULL,NULL,NULL,NULL
"35753","1998","127"," Bankers Trust Corp.","12176",NULL,"866",NULL,NULL,NULL,NULL,NULL
"35754","1998","128"," Sodexho Marriott Services","12034",NULL,"335",NULL,NULL,NULL,NULL,NULL
"35755","1998","129"," Abbott Laboratories","11883.5",NULL,"2094.5",NULL,NULL,NULL,NULL,NULL
"35756","1998","130"," UnitedHealth Group","11794",NULL,"460",NULL,NULL,NULL,NULL,NULL
"35757","1998","131"," Rockwell Automation","11759",NULL,"644",NULL,NULL,NULL,NULL,NULL
"35758","1998","132"," Liberty Mutual Ins. Group","11670",NULL,"521",NULL,NULL,NULL,NULL,NULL
"35759","1998","133"," Bergen Brunswig","11660.5",NULL,"81.7",NULL,NULL,NULL,NULL,NULL
"35760","1998","134"," FedEx","11519.8",NULL,"361.2",NULL,NULL,NULL,NULL,NULL
"35761","1998","135"," McDonalds","11408.8",NULL,"1642.5",NULL,NULL,NULL,NULL,NULL
"35762","1998","136"," Johnson Controls","11387.4",NULL,"288.5",NULL,NULL,NULL,NULL,NULL
"35763","1998","137"," Microsoft","11358",NULL,"3454",NULL,NULL,NULL,NULL,NULL
"35764","1998","138"," Coca-Cola Enterprises","11278",NULL,"171",NULL,NULL,NULL,NULL,NULL
"35765","1998","139"," Publix Super Markets","11224.4",NULL,"354.6",NULL,NULL,NULL,NULL,NULL
"35766","1998","140"," Weyerhaeuser","11210",NULL,"342",NULL,NULL,NULL,NULL,NULL
"35767","1998","141"," Anheuser-Busch","11066.2",NULL,"1179.2",NULL,NULL,NULL,NULL,NULL
"35768","1998","142"," Occidental Petroleum","11061",NULL,"-390",NULL,NULL,NULL,NULL,NULL
"35769","1998","143"," Toys `R` Us","11037.8",NULL,"490.1",NULL,NULL,NULL,NULL,NULL
"35770","1998","144"," Union Pacific","11014",NULL,"432",NULL,NULL,NULL,NULL,NULL
"35771","1998","145"," Cardinal Health","10968",NULL,"181.1",NULL,NULL,NULL,NULL,NULL
"35772","1998","146"," TRW","10831.3",NULL,"-48.5",NULL,NULL,NULL,NULL,NULL
"35773","1998","147"," CSX","10621",NULL,"799",NULL,NULL,NULL,NULL,NULL
"35774","1998","148"," Texas Instruments","10562",NULL,"1805",NULL,NULL,NULL,NULL,NULL
"35775","1998","149"," Textron","10544",NULL,"558",NULL,NULL,NULL,NULL,NULL
"35776","1998","150"," Berkshire Hathaway","10430",NULL,"1901.6",NULL,NULL,NULL,NULL,NULL
"35777","1998","151"," AutoNation","10305.6",NULL,"439.7",NULL,NULL,NULL,NULL,NULL
