"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"501","2018","1","Walmart","500343","3","9862","-27.7","204522","263563","0","2300000"
"502","2018","2","Exxon Mobil","244363","17.4","19710","151.4","348691","316157","2","71200"
"503","2018","3","Berkshire Hathaway","242137","8.3","44940","86.7","702095","492008","-1","377000"
"504","2018","4","Apple","229234","6.3","48351","5.8","375319","851318","-1","123000"
"505","2018","5","UnitedHealth Group","201159","8.8","10558","50.5","139058","207080","1","260000"
"506","2018","6","McKesson","198533","3.1","5070","124.5","60969","29067","-1","64500"
"507","2018","7","CVS Health","184765","4.1","6622","24.5","95131","63114","0","203000"
"508","2018","8","Amazon.com","177866","30.8","3033","27.9","131310","700668","4","566000"
"509","2018","9","AT&T","160546","-2","29450","127","444097","218946","0","254000"
"510","2018","10","General Motors","157311","-5.5","-3864","-141","212482","50971.6","-2","180000"
"511","2018","11","Ford Motor","156776","3.3","7602","65.4","257808","44244.3","-1","202000"
"512","2018","12","AmerisourceBergen","153144","4.3","364.5","-74.5","35316.5","18937.7","-1","19500"
"513","2018","13","Chevron","134533","25.1","9195","0","253806","217845","6","51900"
"514","2018","14","Cardinal Health","129976","6.9","1288","-9.7","40112","19725.8","1","40400"
"515","2018","15","Costco","129025","8.7","2679","14","36347","82686.9","1","182000"
"516","2018","16","Verizon","126034","0","30101","129.3","257143","197497","-2","155400"
"517","2018","17","Kroger","122662","6.4","1907","-3.4","37197","20827.8","1","449000"
"518","2018","18","General Electric","122274","-3.5","-5786","-165.5","377945","117054","-5","313000"
"519","2018","19","Walgreens Boots Alliance","118214","0.7","4078","-2.3","66009","64924.3","-2","290000"
"520","2018","20","JPMorgan Chase","113899","8","24441","-1.2","2533600","375043","1","252539"
"521","2018","21","Fannie Mae","112394","4.9","2463","-80","3345530","1632.9","-1","7200"
"522","2018","22","Alphabet","110855","22.8","12662","-35","197295","719124","5","80110"
"523","2018","23","Home Depot","100904","6.7","8630","8.5","44529","206272","0","413000"
"524","2018","24","Bank of America Corp.","100264","7","18232","1.8","2281230","306618","2","209376"
"525","2018","25","Express Scripts Holding","100065","-0.2","4517.4","32.7","54255.8","38790.6","-3","26600"
"526","2018","26","Wells Fargo","97741","3.8","22183","1.1","1951760","255556","-1","262700"
"527","2018","27","Boeing","93392","-1.2","8197","67.5","92333","192539","-3","140800"
"528","2018","28","Phillips 66","91568","26.5","5106","228.4","54371","44729.9","6","14600"
"529","2018","29","Anthem","90039.4","6.1","3842.8","55.6","70540","56182.1","0","56000"
"530","2018","30","Microsoft","89950","5.4","21204","26.2","241086","702760","-2","124000"
"531","2018","31","Valero Energy","88407","26","4065","77.6","50158","39976.7","6","10015"
"532","2018","32","Citigroup","87966","6.8","-6798","-145.6","1842460","172822","-2","209000"
"533","2018","33","Comcast","84526","5.1","22714","161.2","186949","158703","-2","164000"
"534","2018","34","IBM","79139","-1","5753","-51.5","125356","141335","-2","366000"
"535","2018","35","Dell Technologies","78660","21.4","-3728","0","122281","0","6","145000"
"536","2018","36","State Farm Insurance Cos.","78330.8","2.9","2206.5","529.9","272345","0","-3","65664"
"537","2018","37","Johnson & Johnson","76450","6.3","1300","-92.1","157303","343780","-2","134000"
"538","2018","38","Freddie Mac","74676","13.7","5625","-28","2049780","877.6","1","6165"
"539","2018","39","Target","71879","3.4","2934","7.2","38999","37408.6","-1","345000"
"540","2018","40","Lowes","68619","5.5","3447","11.4","35291","72811.5","0","255000"
"541","2018","41","Marathon Petroleum","67610","21","3432","192.3","49047","34682.7","10","43800"
"542","2018","42","Procter & Gamble","66217","-7.7","15326","45.9","120406","199865","-6","95000"
"543","2018","43","MetLife","66153","4.2","4010","401.3","719892","47571.5","-1","49000"
"544","2018","44","UPS","65872","8.2","4910","43.1","45403","90156.1","2","346415"
"545","2018","45","PepsiCo","63525","1.2","4857","-23.3","79804","154932","-1","263000"
"546","2018","46","Intel","62761","5.7","9601","-6.9","123249","243109","1","102700"
"547","2018","47","DowDuPont","62683","30.2","1460","-66.2","192164","148186","15","98000"
"548","2018","48","Archer Daniels Midland","60828","-2.4","1595","24.7","39963","24238.3","-3","31300"
"549","2018","49","Aetna","60535","-4.1","1904","-16.2","55151","55229.2","-6","47950"
"550","2018","50","FedEx","60319","19.8","2997","64.7","48552","64161","8","357000"
"551","2018","51","United Technologies","59837","4.5","4552","-10","96920","100667","-1","204700"
"552","2018","52","Prudential Financial","59689","1.5","7863","80","831921","43685.8","-4","49705"
"553","2018","53","Albertsons Cos.","59678.2","1.6","-373.3","0","23755","0","-4","273000"
"554","2018","54","Sysco","55371.1","9.9","1142.5","20.3","17756.7","31294.2","3","66500"
"555","2018","55","Disney","55137","-0.9","8980","-4.4","95789","151029","-3","199000"
"556","2018","56","Humana","53767","-1.1","2448","298.7","27178","37122","-3","45900"
"557","2018","57","Pfizer","52546","-0.5","21308","195.3","171797","211115","-3","90200"
"558","2018","58","HP","52056","7.9","2526","1.2","32913","35893.3","3","49000"
"559","2018","59","Lockheed Martin","51048","0.8","2002","-62.2","46521","96588.6","-3","100000"
"560","2018","60","AIG","49520","-5.4","-6084","0","498301","49144.7","-5","49800"
"561","2018","61","Centene","48572","19.3","828","47.3","21855","18703.5","5","33700"
"562","2018","62","Cisco Systems","48005","-2.5","9609","-10.5","129818","206623","-2","72900"
"563","2018","63","HCA Healthcare","47653","6.5","2216","-23.3","36593","34165.1","0","221491"
"564","2018","64","Energy Transfer Equity","47487","26.6","954","-4.1","86246","15334.7","15","29486"
"565","2018","65","Caterpillar","45462","18","754","0","76962","88078.1","9","98400"
"566","2018","66","Nationwide","43939.9","9.6","246.5","-26.2","221257","0","2","33135"
"567","2018","67","Morgan Stanley","43642","15","6111","2.2","851733","96688","9","57633"
"568","2018","68","Liberty Mutual Insurance Group","42687","11.4","17","-98.3","142502","0","7","50000"
"569","2018","69","New York Life Insurance","42296","3.7","1866.9","71.6","303183","0","-4","11114"
"570","2018","70","Goldman Sachs Group","42254","12","4286","-42.1","916776","95462.5","8","36600"
"571","2018","71","American Airlines Group","42207","5","1919","-28.3","51396","24584.3","-4","126600"
"572","2018","72","Best Buy","42151","7","1000","-18.6","13049","20459.9","0","125000"
"573","2018","73","Cigna","41616","4.9","2237","19.8","61753","40734.6","-3","46000"
"574","2018","74","Charter Communications","41581","43.4","9895","180.9","146623","80953.7","22","94800"
"575","2018","75","Delta Air Lines","41244","4","3577","-18.2","53292","38745.9","-4","86564"
"576","2018","76","Facebook","40653","47.1","15934","56","84524","464190","22","25105"
"577","2018","77","Honeywell International","40534","3.1","1655","-65.6","59387","108148","-4","131000"
"578","2018","78","Merck","40122","0.8","2394","-38.9","87872","146862","-9","69000"
"579","2018","79","Allstate","38524","5.4","3189","69.9","112422","33477.6","5","42680"
"580","2018","80","Tyson Foods","38260","3.7","1774","0.3","28066","29233.1","2","122000"
"581","2018","81","United Continental Holdings","37736","3.2","2131","-5.8","42326","19778.1","2","89800"
"582","2018","82","Oracle","37728","1.8","9335","4.9","134991","186766","-1","138000"
"583","2018","83","Tech Data","36775","40.2","116.6","-40.2","12652.6","3248.9","24","14000"
"584","2018","84","TIAA","36025.3","-2.9","1049.7","-29.7","583632","0","-4","16829"
"585","2018","85","TJX","35864.7","8.1","2607.9","13.5","14058","51570.6","2","249000"
"586","2018","86","American Express","35583","5.2","2736","-49.4","181159","80234.3","0","55000"
"587","2018","87","Coca-Cola","35410","-15.4","1248","-80.9","87896","185207","-23","61800"
"588","2018","88","Publix Super Markets","34836.8","1.6","2291.9","13.1","18183.5","0","-3","193000"
"589","2018","89","Nike","34350","6.1","4240","12.8","23259","108094","-1","74400"
