"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"1501","2016","1","Walmart","482130","-0.7","14694","-10.2","199581","215356",NULL,"2300000"
"1502","2016","2","Exxon Mobil","246204","-35.6","16150","-50.3","336758","347129",NULL,"75600"
"1503","2016","3","Apple","233715","27.9","53394","35.1","290479","604304",NULL,"110000"
"1504","2016","4","Berkshire Hathaway","210821","8.3","24083","21.2","552257","350279",NULL,"331000"
"1505","2016","5","McKesson","181241","31.3","1476","16.9","53870","35945",NULL,"70400"
"1506","2016","6","UnitedHealth Group","157107","20.4","5813","3.5","111383","122542",NULL,"200000"
"1507","2016","7","CVS Health","153290","10","5237","12.8","93657","113947",NULL,"199000"
"1508","2016","8","General Motors","152356","-2.3","9687","145.3","194520","48543",NULL,"215000"
"1509","2016","9","Ford Motor","149558","3.8","7373","131.3","224925","53758",NULL,"199000"
"1510","2016","10","AT&T","146801","10.8","13345","114.4","402672","240943",NULL,"281450"
"1511","2016","11","General Electric","140389","-5.3","-6126","-140.2","492692","295174",NULL,"333000"
"1512","2016","12","AmerisourceBergen","135962","13.7","-135","-148.8","27736","19511",NULL,"17000"
"1513","2016","13","Verizon","131620","3.6","17879","85.8","244640","220646",NULL,"177700"
"1514","2016","14","Chevron","131118","-35.7","4587","-76.2","266103","179653",NULL,"61500"
"1515","2016","15","Costco","116199","3.2","2377","15.5","33440","69183",NULL,"161000"
"1516","2016","16","Fannie Mae","110359","-5.2","10954","-22.9","3221920","1621",NULL,"7300"
"1517","2016","17","Kroger","109830","1.3","2039","18","33897","36815",NULL,"431000"
"1518","2016","18","Amazon.com","107006","20.2","596","0","65444","279511",NULL,"230800"
"1519","2016","19","Walgreens Boots Alliance","103444","35.4","4220","118.4","68782","90874",NULL,"302500"
"1520","2016","20","HP","103355","-7.3","4554","-9.2","106882","21272",NULL,"287000"
"1521","2016","21","Cardinal Health","102531","12.6","1215","4.2","30142","26989",NULL,"34500"
"1522","2016","22","Express Scripts Holding","101752","0.9","2476","23.4","53243","43467",NULL,"25900"
"1523","2016","23","J.P. Morgan Chase","101006","-1.1","24442","12.3","2351700","217353",NULL,"234598"
"1524","2016","24","Boeing","96114","5.9","5176","-5","94408","82645",NULL,"161400"
"1525","2016","25","Microsoft","93580","7.8","12193","-44.8","176223","436831",NULL,"118000"
"1526","2016","26","Bank of America Corp.","93056","-2.2","15888","228.7","2144320","139603",NULL,"213280"
"1527","2016","27","Wells Fargo","90033","1.9","22894","-0.7","1787630","244568",NULL,"264700"
"1528","2016","28","Home Depot","88519","6.4","7009","10.5","42549","167181",NULL,"385000"
"1529","2016","29","Citigroup","88275","-2.6","17242","135.8","1731210","122796",NULL,"231000"
"1530","2016","30","Phillips 66","87169","-41.7","4227","-11.2","48580","45566",NULL,"14000"
"1531","2016","31","IBM","82461","-12.4","13190","9.7","110495","145525",NULL,"411798"
"1532","2016","32","Valero Energy","81824","-34.5","3990","9.9","44343","30132",NULL,"10103"
"1533","2016","33","Anthem","79157","7.2","2560","-0.4","61718","36325",NULL,"53000"
"1534","2016","34","Procter & Gamble","78756","-6.8","7036","-39.6","129495","222613",NULL,"110000"
