"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"32641","2004","1"," Wal-Mart Stores","258681",NULL,"9054",NULL,NULL,NULL,NULL,NULL
"32642","2004","2"," Exxon Mobil","213199",NULL,"21510",NULL,NULL,NULL,NULL,NULL
"32643","2004","3"," General Motors","195645",NULL,"3822",NULL,NULL,NULL,NULL,NULL
"32644","2004","4"," Ford Motor","164496",NULL,"495",NULL,NULL,NULL,NULL,NULL
"32645","2004","5"," General Electric","134187",NULL,"15002",NULL,NULL,NULL,NULL,NULL
"32646","2004","6"," ChevronTexaco","112937",NULL,"7230",NULL,NULL,NULL,NULL,NULL
"32647","2004","7"," ConocoPhillips","99468",NULL,"4735",NULL,NULL,NULL,NULL,NULL
"32648","2004","8"," Citigroup","94713",NULL,"17853",NULL,NULL,NULL,NULL,NULL
"32649","2004","9"," Intl. Business Machines","89131",NULL,"7583",NULL,NULL,NULL,NULL,NULL
"32650","2004","10"," American Intl. Group","81300",NULL,"9274.2",NULL,NULL,NULL,NULL,NULL
"32651","2004","11"," Hewlett-Packard","73061",NULL,"2539",NULL,NULL,NULL,NULL,NULL
"32652","2004","12"," Verizon Communications","67752",NULL,"3077",NULL,NULL,NULL,NULL,NULL
"32653","2004","13"," Home Depot","64816",NULL,"4304",NULL,NULL,NULL,NULL,NULL
"32654","2004","14"," Berkshire Hathaway","63859",NULL,"8151",NULL,NULL,NULL,NULL,NULL
"32655","2004","15"," Altria Group","60704",NULL,"9204",NULL,NULL,NULL,NULL,NULL
"32656","2004","16"," McKesson","57129.2",NULL,"555.4",NULL,NULL,NULL,NULL,NULL
"32657","2004","17"," Cardinal Health","56829.5",NULL,"1405.8",NULL,NULL,NULL,NULL,NULL
"32658","2004","18"," State Farm Insurance Cos","56064.6",NULL,"2825.9",NULL,NULL,NULL,NULL,NULL
"32659","2004","19"," Kroger","53790.8",NULL,"314.6",NULL,NULL,NULL,NULL,NULL
"32660","2004","20"," Fannie Mae","53766.9",NULL,"7904.9",NULL,NULL,NULL,NULL,NULL
"32661","2004","21"," Boeing","50485",NULL,"698",NULL,NULL,NULL,NULL,NULL
"32662","2004","22"," AmerisourceBergen","49657.3",NULL,"441.2",NULL,NULL,NULL,NULL,NULL
"32663","2004","23"," Target","48163",NULL,"1841",NULL,NULL,NULL,NULL,NULL
"32664","2004","24"," Bank of America Corp.","48065",NULL,"10810",NULL,NULL,NULL,NULL,NULL
"32665","2004","25"," Pfizer","45950",NULL,"3910",NULL,NULL,NULL,NULL,NULL
"32666","2004","26"," J.P. Morgan Chase & Co.","44363",NULL,"6719",NULL,NULL,NULL,NULL,NULL
"32667","2004","27"," Time Warner","43877",NULL,"2639",NULL,NULL,NULL,NULL,NULL
"32668","2004","28"," Procter & Gamble","43377",NULL,"5186",NULL,NULL,NULL,NULL,NULL
"32669","2004","29"," Costco Wholesale","42545.6",NULL,"721",NULL,NULL,NULL,NULL,NULL
"32670","2004","30"," Johnson & Johnson","41862",NULL,"7197",NULL,NULL,NULL,NULL,NULL
"32671","2004","31"," Dell","41444",NULL,"2645",NULL,NULL,NULL,NULL,NULL
"32672","2004","32"," Sears Roebuck","41124",NULL,"3397",NULL,NULL,NULL,NULL,NULL
"32673","2004","33"," SBC Communications","40843",NULL,"8505",NULL,NULL,NULL,NULL,NULL
"32674","2004","34"," Valero Energy","37968.6",NULL,"621.5",NULL,NULL,NULL,NULL,NULL
"32675","2004","35"," Marathon Oil","37137",NULL,"1321",NULL,NULL,NULL,NULL,NULL
"32676","2004","36"," MetLife","36261",NULL,"2217",NULL,NULL,NULL,NULL,NULL
"32677","2004","37"," Safeway","35552.7",NULL,"-169.8",NULL,NULL,NULL,NULL,NULL
"32678","2004","38"," Albertsons","35436",NULL,"556",NULL,NULL,NULL,NULL,NULL
"32679","2004","39"," Morgan Stanley","34933",NULL,"3787",NULL,NULL,NULL,NULL,NULL
"32680","2004","40"," AT&T","34529",NULL,"1865",NULL,NULL,NULL,NULL,NULL
"32681","2004","41"," Medco Health Solutions","34264.5",NULL,"425.8",NULL,NULL,NULL,NULL,NULL
"32682","2004","42"," United Parcel Service","33485",NULL,"2898",NULL,NULL,NULL,NULL,NULL
"32683","2004","43"," J.C. Penney","32923",NULL,"-928",NULL,NULL,NULL,NULL,NULL
"32684","2004","44"," Dow Chemical","32632",NULL,"1730",NULL,NULL,NULL,NULL,NULL
"32685","2004","45"," Walgreen","32505.4",NULL,"1175.7",NULL,NULL,NULL,NULL,NULL
"32686","2004","46"," Microsoft","32187",NULL,"9993",NULL,NULL,NULL,NULL,NULL
"32687","2004","47"," Allstate","32149",NULL,"2705",NULL,NULL,NULL,NULL,NULL
"32688","2004","48"," Lockheed Martin","31844",NULL,"1053",NULL,NULL,NULL,NULL,NULL
"32689","2004","49"," Wells Fargo","31800",NULL,"6202",NULL,NULL,NULL,NULL,NULL
"32690","2004","50"," Lowes","31263",NULL,"1877",NULL,NULL,NULL,NULL,NULL
"32691","2004","51"," United Technologies","31034",NULL,"2361",NULL,NULL,NULL,NULL,NULL
"32692","2004","52"," Archer Daniels Midland","30708",NULL,"451.1",NULL,NULL,NULL,NULL,NULL
"32693","2004","53"," Intel","30141",NULL,"5641",NULL,NULL,NULL,NULL,NULL
"32694","2004","54"," UnitedHealth Group","28823",NULL,"1825",NULL,NULL,NULL,NULL,NULL
"32695","2004","55"," Northrop Grumman","28686",NULL,"866",NULL,NULL,NULL,NULL,NULL
"32696","2004","56"," Delphi","28096",NULL,"-56",NULL,NULL,NULL,NULL,NULL
"32697","2004","57"," Prudential Financial","27907",NULL,"1264",NULL,NULL,NULL,NULL,NULL
"32698","2004","58"," Merrill Lynch","27745",NULL,"3988",NULL,NULL,NULL,NULL,NULL
"32699","2004","59"," DuPont","27730",NULL,"973",NULL,NULL,NULL,NULL,NULL
"32700","2004","60"," Walt Disney","27061",NULL,"1267",NULL,NULL,NULL,NULL,NULL
"32701","2004","61"," Motorola","27058",NULL,"893",NULL,NULL,NULL,NULL,NULL
"32702","2004","62"," PepsiCo","26971",NULL,"3568",NULL,NULL,NULL,NULL,NULL
"32703","2004","63"," CVS","26588",NULL,"847.3",NULL,NULL,NULL,NULL,NULL
"32704","2004","64"," Viacom","26585.3",NULL,"1416.9",NULL,NULL,NULL,NULL,NULL
"32705","2004","65"," Sprint","26202",NULL,"1215",NULL,NULL,NULL,NULL,NULL
"32706","2004","66"," Sysco","26140.3",NULL,"778.3",NULL,NULL,NULL,NULL,NULL
"32707","2004","67"," Kmart Holding","26032",NULL,"-1991",NULL,NULL,NULL,NULL,NULL
"32708","2004","68"," TIAA-CREF","26016.2",NULL,"514.3",NULL,NULL,NULL,NULL,NULL
"32709","2004","69"," American Express","25866",NULL,"2987",NULL,NULL,NULL,NULL,NULL
"32710","2004","70"," New York Life Insurance","25699.7",NULL,"695",NULL,NULL,NULL,NULL,NULL
"32711","2004","71"," International Paper","25200",NULL,"302",NULL,NULL,NULL,NULL,NULL
"32712","2004","72"," Tyson Foods","24549",NULL,"337",NULL,NULL,NULL,NULL,NULL
"32713","2004","73"," Wachovia Corp.","24474",NULL,"4624",NULL,NULL,NULL,NULL,NULL
"32714","2004","74"," Goldman Sachs Group","23623",NULL,"3005",NULL,NULL,NULL,NULL,NULL
"32715","2004","75"," Duke Energy","23483",NULL,"-1323",NULL,NULL,NULL,NULL,NULL
"32716","2004","76"," Honeywell Intl.","23103",NULL,"1324",NULL,NULL,NULL,NULL,NULL
"32717","2004","77"," Caterpillar","22763",NULL,"1099",NULL,NULL,NULL,NULL,NULL
"32718","2004","78"," Best Buy","22673",NULL,"99",NULL,NULL,NULL,NULL,NULL
"32719","2004","79"," Johnson Controls","22646",NULL,"682.9",NULL,NULL,NULL,NULL,NULL
"32720","2004","80"," BellSouth","22635",NULL,"3904",NULL,NULL,NULL,NULL,NULL
"32721","2004","81"," Ingram Micro","22613",NULL,"149.2",NULL,NULL,NULL,NULL,NULL
"32722","2004","82"," FedEx","22487",NULL,"830",NULL,NULL,NULL,NULL,NULL
"32723","2004","83"," Merck","22485.9",NULL,"6830.9",NULL,NULL,NULL,NULL,NULL
"32724","2004","84"," ConAgra Foods","22052.5",NULL,"774.8",NULL,NULL,NULL,NULL,NULL
"32725","2004","85"," HCA","21808",NULL,"1332",NULL,NULL,NULL,NULL,NULL
"32726","2004","86"," Alcoa","21728",NULL,"938",NULL,NULL,NULL,NULL,NULL
"32727","2004","87"," Electronic Data Systems","21596",NULL,"-1698",NULL,NULL,NULL,NULL,NULL
"32728","2004","88"," Bank One Corp.","21454",NULL,"3535",NULL,NULL,NULL,NULL,NULL
"32729","2004","89"," Comcast","21263",NULL,"3240",NULL,NULL,NULL,NULL,NULL
"32730","2004","90"," Mass. Mutual Life Ins.","21075.8",NULL,"735",NULL,NULL,NULL,NULL,NULL
"32731","2004","91"," Coca-Cola","21044",NULL,"4347",NULL,NULL,NULL,NULL,NULL
