"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"38615","1992","1"," General Motors","123780",NULL,"-4452.8",NULL,NULL,NULL,NULL,NULL
"38616","1992","2"," Exxon Mobil","103242",NULL,"5600",NULL,NULL,NULL,NULL,NULL
"38617","1992","3"," Ford Motor","88962.8",NULL,"-2258",NULL,NULL,NULL,NULL,NULL
"38618","1992","4"," Intl. Business Machines","65394",NULL,"-2827",NULL,NULL,NULL,NULL,NULL
"38619","1992","5"," General Electric","60236",NULL,"2636",NULL,NULL,NULL,NULL,NULL
"38620","1992","6"," Mobil","56910",NULL,"1920",NULL,NULL,NULL,NULL,NULL
"38621","1992","7"," Altria Group","48109",NULL,"3006",NULL,NULL,NULL,NULL,NULL
"38622","1992","8"," DuPont","38031",NULL,"1403",NULL,NULL,NULL,NULL,NULL
"38623","1992","9"," Texaco","37551",NULL,"1294",NULL,NULL,NULL,NULL,NULL
"38624","1992","10"," ChevronTexaco","36795",NULL,"1293",NULL,NULL,NULL,NULL,NULL
"38625","1992","11"," Chrysler","29370",NULL,"-795",NULL,NULL,NULL,NULL,NULL
"38626","1992","12"," Boeing","29314",NULL,"1567",NULL,NULL,NULL,NULL,NULL
"38627","1992","13"," Procter & Gamble","27406",NULL,"1773",NULL,NULL,NULL,NULL,NULL
"38628","1992","14"," Amoco","25604",NULL,"1484",NULL,NULL,NULL,NULL,NULL
"38629","1992","15"," Shell Oil","22201",NULL,"20",NULL,NULL,NULL,NULL,NULL
"38630","1992","16"," United Technologies","21262",NULL,"-1021",NULL,NULL,NULL,NULL,NULL
"38631","1992","17"," PepsiCo","19771.2",NULL,"1080.2",NULL,NULL,NULL,NULL,NULL
"38632","1992","18"," Eastman Kodak","19649",NULL,"17",NULL,NULL,NULL,NULL,NULL
"38633","1992","19"," ConAgra Foods","19504.7",NULL,"311.2",NULL,NULL,NULL,NULL,NULL
"38634","1992","20"," Dow Chemical","19305",NULL,"942",NULL,NULL,NULL,NULL,NULL
"38635","1992","21"," McDonnell Douglas","18718",NULL,"423",NULL,NULL,NULL,NULL,NULL
"38636","1992","22"," Xerox","17830",NULL,"454",NULL,NULL,NULL,NULL,NULL
"38637","1992","23"," Atlantic Richfield","17683",NULL,"709",NULL,NULL,NULL,NULL,NULL
"38638","1992","24"," Marathon Oil","17163",NULL,"-578",NULL,NULL,NULL,NULL,NULL
"38639","1992","25"," Nabisco Group Holdings","14989",NULL,"368",NULL,NULL,NULL,NULL,NULL
"38640","1992","26"," Hewlett-Packard","14541",NULL,"755",NULL,NULL,NULL,NULL,NULL
"38641","1992","27"," Tenneco Automotive","14035",NULL,"-732",NULL,NULL,NULL,NULL,NULL
"38642","1992","28"," Digital Equipment","14024.2",NULL,"-617.4",NULL,NULL,NULL,NULL,NULL
"38643","1992","29"," 3M","13340",NULL,"1154",NULL,NULL,NULL,NULL,NULL
"38644","1992","30"," ConocoPhillips","13216",NULL,"258",NULL,NULL,NULL,NULL,NULL
"38645","1992","31"," CBS","12794",NULL,"-1086",NULL,NULL,NULL,NULL,NULL
"38646","1992","32"," International Paper","12703",NULL,"184",NULL,NULL,NULL,NULL,NULL
"38647","1992","33"," Sara Lee","12456.3",NULL,"535",NULL,NULL,NULL,NULL,NULL
"38648","1992","34"," Johnson & Johnson","12447",NULL,"1461",NULL,NULL,NULL,NULL,NULL
"38649","1992","35"," Rockwell Automation","12027.9",NULL,"600.5",NULL,NULL,NULL,NULL,NULL
"38650","1992","36"," Honeywell Intl.","11882",NULL,"-273",NULL,NULL,NULL,NULL,NULL
"38651","1992","37"," Coca-Cola","11571.6",NULL,"1618",NULL,NULL,NULL,NULL,NULL
"38652","1992","38"," Georgia-Pacific","11524",NULL,"-142",NULL,NULL,NULL,NULL,NULL
"38653","1992","39"," Motorola","11341",NULL,"454",NULL,NULL,NULL,NULL,NULL
"38654","1992","40"," Bristol-Myers Squibb","11298",NULL,"2056",NULL,NULL,NULL,NULL,NULL
"38655","1992","41"," Goodyear Tire & Rubber","11046.1",NULL,"96.6",NULL,NULL,NULL,NULL,NULL
"38656","1992","42"," Anheuser-Busch","10996.3",NULL,"939.8",NULL,NULL,NULL,NULL,NULL
"38657","1992","43"," Occidental Petroleum","10304.8",NULL,"459.9",NULL,NULL,NULL,NULL,NULL
"38658","1992","44"," Sunoco","10246",NULL,"-387",NULL,NULL,NULL,NULL,NULL
"38659","1992","45"," Caterpillar","10182",NULL,"-404",NULL,NULL,NULL,NULL,NULL
"38660","1992","46"," Alcoa","9981.2",NULL,"62.7",NULL,NULL,NULL,NULL,NULL
"38661","1992","47"," Lockheed Martin","9809",NULL,"308",NULL,NULL,NULL,NULL,NULL
"38662","1992","48"," Unocal","9780",NULL,"73",NULL,NULL,NULL,NULL,NULL
"38663","1992","49"," Coastal","9602.8",NULL,"96.3",NULL,NULL,NULL,NULL,NULL
"38664","1992","50"," General Dynamics","9548",NULL,"505",NULL,NULL,NULL,NULL,NULL
"38665","1992","51"," Raytheon","9355.5",NULL,"591.8",NULL,NULL,NULL,NULL,NULL
"38666","1992","52"," Ashland","9322.4",NULL,"145",NULL,NULL,NULL,NULL,NULL
"38667","1992","53"," Monsanto","8929",NULL,"296",NULL,NULL,NULL,NULL,NULL
"38668","1992","54"," Citgo Petroleum","8921.9",NULL,"135.7",NULL,NULL,NULL,NULL,NULL
"38669","1992","55"," Baxter International","8921",NULL,"591",NULL,NULL,NULL,NULL,NULL
"38670","1992","56"," Unilever U.S.","8855.1",NULL,"0",NULL,NULL,NULL,NULL,NULL
"38671","1992","57"," Merck","8765.2",NULL,"2121.7",NULL,NULL,NULL,NULL,NULL
"38672","1992","58"," Weyerhaeuser","8724.8",NULL,"-161.9",NULL,NULL,NULL,NULL,NULL
"38673","1992","59"," Unisys","8696.1",NULL,"-1393.3",NULL,NULL,NULL,NULL,NULL
"38674","1992","60"," Archer Daniels Midland","8567.7",NULL,"466.7",NULL,NULL,NULL,NULL,NULL
"38675","1992","61"," Fortune Brands","8379",NULL,"806.1",NULL,NULL,NULL,NULL,NULL
"38676","1992","62"," TRW","7913",NULL,"-140",NULL,NULL,NULL,NULL,NULL
"38677","1992","63"," Textron","7840.1",NULL,"299.5",NULL,NULL,NULL,NULL,NULL
"38678","1992","64"," Emerson Electric","7427",NULL,"631.9",NULL,NULL,NULL,NULL,NULL
"38679","1992","65"," Ralston Purina","7394.2",NULL,"391.9",NULL,NULL,NULL,NULL,NULL
"38680","1992","66"," Union Carbide","7346",NULL,"-28",NULL,NULL,NULL,NULL,NULL
"38681","1992","67"," Borden Chemical","7235.1",NULL,"294.9",NULL,NULL,NULL,NULL,NULL
"38682","1992","68"," General Mills","7153.2",NULL,"472.7",NULL,NULL,NULL,NULL,NULL
"38683","1992","69"," Pfizer","7143.8",NULL,"722.1",NULL,NULL,NULL,NULL,NULL
"38684","1992","70"," Hanson Industries NA","7103.7",NULL,"660.2",NULL,NULL,NULL,NULL,NULL
