"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"34635","2000","1"," General Motors","189058",NULL,"6002",NULL,NULL,NULL,NULL,NULL
"34636","2000","2"," Wal-Mart Stores","166809",NULL,"5377",NULL,NULL,NULL,NULL,NULL
"34637","2000","3"," Exxon Mobil","163881",NULL,"7910",NULL,NULL,NULL,NULL,NULL
"34638","2000","4"," Ford Motor","162558",NULL,"7237",NULL,NULL,NULL,NULL,NULL
"34639","2000","5"," General Electric","111630",NULL,"10717",NULL,NULL,NULL,NULL,NULL
"34640","2000","6"," Intl. Business Machines","87548",NULL,"7712",NULL,NULL,NULL,NULL,NULL
"34641","2000","7"," Citigroup","82005",NULL,"9867",NULL,NULL,NULL,NULL,NULL
"34642","2000","8"," AT&T","62391",NULL,"3428",NULL,NULL,NULL,NULL,NULL
"34643","2000","9"," Altria Group","61751",NULL,"7675",NULL,NULL,NULL,NULL,NULL
"34644","2000","10"," Boeing","57993",NULL,"2309",NULL,NULL,NULL,NULL,NULL
"34645","2000","11"," Bank of America Corp.","51392",NULL,"7882",NULL,NULL,NULL,NULL,NULL
"34646","2000","12"," SBC Communications","49489",NULL,"8159",NULL,NULL,NULL,NULL,NULL
"34647","2000","13"," Hewlett-Packard","48253",NULL,"3491",NULL,NULL,NULL,NULL,NULL
"34648","2000","14"," Kroger","45351.6",NULL,"955.9",NULL,NULL,NULL,NULL,NULL
"34649","2000","15"," State Farm Insurance Cos","44637.2",NULL,"1034.1",NULL,NULL,NULL,NULL,NULL
"34650","2000","16"," Sears Roebuck","41071",NULL,"1453",NULL,NULL,NULL,NULL,NULL
"34651","2000","17"," American Intl. Group","40656.1",NULL,"5055.4",NULL,NULL,NULL,NULL,NULL
"34652","2000","18"," Enron","40112",NULL,"893",NULL,NULL,NULL,NULL,NULL
"34653","2000","19"," TIAA-CREF","39410.2",NULL,"1024.1",NULL,NULL,NULL,NULL,NULL
"34654","2000","20"," Compaq Computer","38525",NULL,"569",NULL,NULL,NULL,NULL,NULL
"34655","2000","21"," Home Depot","38434",NULL,"2320",NULL,NULL,NULL,NULL,NULL
"34656","2000","22"," Lucent Technologies","38303",NULL,"4766",NULL,NULL,NULL,NULL,NULL
"34657","2000","23"," Procter & Gamble","38125",NULL,"3763",NULL,NULL,NULL,NULL,NULL
"34658","2000","24"," Albertsons","37478.1",NULL,"404.1",NULL,NULL,NULL,NULL,NULL
"34659","2000","25"," MCI WorldCom","37120",NULL,"4013",NULL,NULL,NULL,NULL,NULL
"34660","2000","26"," Fannie Mae","36968.6",NULL,"3911.9",NULL,NULL,NULL,NULL,NULL
"34661","2000","27"," Kmart Holding","35925",NULL,"403",NULL,NULL,NULL,NULL,NULL
"34662","2000","28"," Texaco","35690",NULL,"1177",NULL,NULL,NULL,NULL,NULL
"34663","2000","29"," Merrill Lynch","34879",NULL,"2618",NULL,NULL,NULL,NULL,NULL
"34664","2000","30"," Morgan Stanley","33928",NULL,"4791",NULL,NULL,NULL,NULL,NULL
"34665","2000","31"," Chase Manhattan Corp.","33710",NULL,"5446",NULL,NULL,NULL,NULL,NULL
"34666","2000","32"," Target","33702",NULL,"1144",NULL,NULL,NULL,NULL,NULL
"34667","2000","33"," Bell Atlantic","33174",NULL,"4202",NULL,NULL,NULL,NULL,NULL
"34668","2000","34"," Merck","32714",NULL,"5890.5",NULL,NULL,NULL,NULL,NULL
"34669","2000","35"," ChevronTexaco","32676",NULL,"2070",NULL,NULL,NULL,NULL,NULL
"34670","2000","36"," J.C. Penney","32510",NULL,"336",NULL,NULL,NULL,NULL,NULL
"34671","2000","37"," Motorola","30931",NULL,"817",NULL,NULL,NULL,NULL,NULL
"34672","2000","38"," McKesson","30382.3",NULL,"84.9",NULL,NULL,NULL,NULL,NULL
"34673","2000","39"," Intel","29389",NULL,"7314",NULL,NULL,NULL,NULL,NULL
"34674","2000","40"," Safeway","28859.9",NULL,"970.9",NULL,NULL,NULL,NULL,NULL
"34675","2000","41"," Ingram Micro","28068.6",NULL,"183.4",NULL,NULL,NULL,NULL,NULL
"34676","2000","42"," DuPont","27892",NULL,"7690",NULL,NULL,NULL,NULL,NULL
"34677","2000","43"," Johnson & Johnson","27471",NULL,"4167",NULL,NULL,NULL,NULL,NULL
"34678","2000","44"," Costco Wholesale","27456",NULL,"397.3",NULL,NULL,NULL,NULL,NULL
"34679","2000","45"," Time Warner","27333",NULL,"1948",NULL,NULL,NULL,NULL,NULL
"34680","2000","46"," United Parcel Service","27052",NULL,"883",NULL,NULL,NULL,NULL,NULL
"34681","2000","47"," Allstate","26959",NULL,"2720",NULL,NULL,NULL,NULL,NULL
"34682","2000","48"," Prudential Financial","26618",NULL,"813",NULL,NULL,NULL,NULL,NULL
"34683","2000","49"," Aetna","26452.7",NULL,"716.9",NULL,NULL,NULL,NULL,NULL
"34684","2000","50"," Bank One Corp.","25986",NULL,"3479",NULL,NULL,NULL,NULL,NULL
"34685","2000","51"," Marathon Oil","25610",NULL,"698",NULL,NULL,NULL,NULL,NULL
"34686","2000","52"," Lockheed Martin","25530",NULL,"382",NULL,NULL,NULL,NULL,NULL
"34687","2000","53"," MetLife","25426",NULL,"617",NULL,NULL,NULL,NULL,NULL
"34688","2000","54"," Goldman Sachs Group","25363",NULL,"2708",NULL,NULL,NULL,NULL,NULL
"34689","2000","55"," GTE","25336.2",NULL,"4032.8",NULL,NULL,NULL,NULL,NULL
"34690","2000","56"," Dell","25265",NULL,"1666",NULL,NULL,NULL,NULL,NULL
"34691","2000","57"," United Technologies","25242",NULL,"1531",NULL,NULL,NULL,NULL,NULL
"34692","2000","58"," BellSouth","25224",NULL,"3448",NULL,NULL,NULL,NULL,NULL
"34693","2000","59"," Cardinal Health","25033.6",NULL,"456.3",NULL,NULL,NULL,NULL,NULL
"34694","2000","60"," ConAgra Foods","24594.3",NULL,"358.4",NULL,NULL,NULL,NULL,NULL
"34695","2000","61"," International Paper","24573",NULL,"183",NULL,NULL,NULL,NULL,NULL
"34696","2000","62"," Freddie Mac","24268",NULL,"2223",NULL,NULL,NULL,NULL,NULL
"34697","2000","63"," AutoNation","24206.6",NULL,"282.9",NULL,NULL,NULL,NULL,NULL
"34698","2000","64"," Berkshire Hathaway","24028",NULL,"1557",NULL,NULL,NULL,NULL,NULL
"34699","2000","65"," Honeywell Intl.","23735",NULL,"1541",NULL,NULL,NULL,NULL,NULL
"34700","2000","66"," Walt Disney","23402",NULL,"1300",NULL,NULL,NULL,NULL,NULL
"34701","2000","67"," Wachovia Corp.","22084",NULL,"3223",NULL,NULL,NULL,NULL,NULL
"34702","2000","68"," Wells Fargo","21795",NULL,"3747",NULL,NULL,NULL,NULL,NULL
"34703","2000","69"," Duke Energy","21742",NULL,"1507",NULL,NULL,NULL,NULL,NULL
"34704","2000","70"," New York Life Insurance","21679.3",NULL,"554.8",NULL,NULL,NULL,NULL,NULL
"34705","2000","71"," American Express","21278",NULL,"2475",NULL,NULL,NULL,NULL,NULL
"34706","2000","72"," Loews","20952.6",NULL,"363.2",NULL,NULL,NULL,NULL,NULL
"34707","2000","73"," PG&E Corp.","20820",NULL,"-73",NULL,NULL,NULL,NULL,NULL
"34708","2000","74"," Conoco","20817",NULL,"744",NULL,NULL,NULL,NULL,NULL
"34709","2000","75"," Cigna","20644",NULL,"1774",NULL,NULL,NULL,NULL,NULL
"34710","2000","76"," PepsiCo","20367",NULL,"2050",NULL,NULL,NULL,NULL,NULL
"34711","2000","77"," AMR","20262",NULL,"985",NULL,NULL,NULL,NULL,NULL
"34712","2000","78"," Bristol-Myers Squibb","20222",NULL,"4167",NULL,NULL,NULL,NULL,NULL
"34713","2000","79"," Sara Lee","20012",NULL,"1191",NULL,NULL,NULL,NULL,NULL
"34714","2000","80"," FleetBoston Financial","20000",NULL,"2038",NULL,NULL,NULL,NULL,NULL
"34715","2000","81"," Sprint","19930",NULL,"-935",NULL,NULL,NULL,NULL,NULL
"34716","2000","82"," Raytheon","19841",NULL,"404",NULL,NULL,NULL,NULL,NULL
"34717","2000","83"," Coca-Cola","19805",NULL,"2431",NULL,NULL,NULL,NULL,NULL
"34718","2000","84"," Microsoft","19747",NULL,"7785",NULL,NULL,NULL,NULL,NULL
"34719","2000","85"," Caterpillar","19702",NULL,"946",NULL,NULL,NULL,NULL,NULL
"34720","2000","86"," UnitedHealth Group","19562",NULL,"568",NULL,NULL,NULL,NULL,NULL
"34721","2000","87"," Xerox","19228",NULL,"1424",NULL,NULL,NULL,NULL,NULL
"34722","2000","88"," Lehman Brothers Hldgs.","18989",NULL,"1132",NULL,NULL,NULL,NULL,NULL
"34723","2000","89"," Dow Chemical","18929",NULL,"1331",NULL,NULL,NULL,NULL,NULL
"34724","2000","90"," Aquila","18621.5",NULL,"160.5",NULL,NULL,NULL,NULL,NULL
"34725","2000","91"," Electronic Data Systems","18534.2",NULL,"420.9",NULL,NULL,NULL,NULL,NULL
"34726","2000","92"," J.P. Morgan","18110",NULL,"2055",NULL,NULL,NULL,NULL,NULL
"34727","2000","93"," CVS","18098.3",NULL,"635.1",NULL,NULL,NULL,NULL,NULL
"34728","2000","94"," UAL","18027",NULL,"1235",NULL,NULL,NULL,NULL,NULL
"34729","2000","95"," Walgreen","17838.8",NULL,"624.1",NULL,NULL,NULL,NULL,NULL
"34730","2000","96"," Georgia-Pacific","17796",NULL,"716",NULL,NULL,NULL,NULL,NULL
"34731","2000","97"," Federated Dept. Stores","17716",NULL,"795",NULL,NULL,NULL,NULL,NULL
"34732","2000","98"," Sysco","17422.8",NULL,"362.3",NULL,NULL,NULL,NULL,NULL
"34733","2000","99"," Supervalu","17420.5",NULL,"191.3",NULL,NULL,NULL,NULL,NULL
"34734","2000","100"," Bergen Brunswig","17244.9",NULL,"70.6",NULL,NULL,NULL,NULL,NULL
"34735","2000","101"," Texas Utilities","17118",NULL,"985",NULL,NULL,NULL,NULL,NULL
"34736","2000","102"," Tech Data","16991.8",NULL,"127.5",NULL,NULL,NULL,NULL,NULL
"34737","2000","103"," TRW","16969",NULL,"468.8",NULL,NULL,NULL,NULL,NULL
"34738","2000","104"," FedEx","16773.5",NULL,"631.3",NULL,NULL,NULL,NULL,NULL
"34739","2000","105"," Columbia/HCA Healthcare","16657",NULL,"657",NULL,NULL,NULL,NULL,NULL
"34740","2000","106"," Alcoa","16446.4",NULL,"1054.1",NULL,NULL,NULL,NULL,NULL
"34741","2000","107"," Pfizer","16204",NULL,"3179",NULL,NULL,NULL,NULL,NULL
"34742","2000","108"," Johnson Controls","16139.4",NULL,"419.6",NULL,NULL,NULL,NULL,NULL
"34743","2000","109"," Lowes","15905.6",NULL,"672.8",NULL,NULL,NULL,NULL,NULL
"34744","2000","110"," 3M","15659",NULL,"1763",NULL,NULL,NULL,NULL,NULL
"34745","2000","111"," Liberty Mutual Ins. Group","15499",NULL,"501",NULL,NULL,NULL,NULL,NULL
"34746","2000","112"," Dynegy","15430",NULL,"151.8",NULL,NULL,NULL,NULL,NULL
"34747","2000","113"," Northwestern Mutual","15306.3",NULL,"1336.6",NULL,NULL,NULL,NULL,NULL
"34748","2000","114"," CenterPoint Energy","15302.8",NULL,"1482.5",NULL,NULL,NULL,NULL,NULL
"34749","2000","115"," Halliburton","14898",NULL,"438",NULL,NULL,NULL,NULL,NULL
"34750","2000","116"," Delta Air Lines","14711",NULL,"1101",NULL,NULL,NULL,NULL,NULL
"34751","2000","117"," Fleming","14645.6",NULL,"-44.7",NULL,NULL,NULL,NULL,NULL
"34752","2000","118"," Coca-Cola Enterprises","14406",NULL,"59",NULL,NULL,NULL,NULL,NULL
"34753","2000","119"," Tosco","14362.1",NULL,"441.7",NULL,NULL,NULL,NULL,NULL
"34754","2000","120"," Archer Daniels Midland","14283.3",NULL,"266",NULL,NULL,NULL,NULL,NULL
"34755","2000","121"," Emerson Electric","14269.5",NULL,"1313.6",NULL,NULL,NULL,NULL,NULL
"34756","2000","122"," May Dept. Stores","14224",NULL,"927",NULL,NULL,NULL,NULL,NULL
"34757","2000","123"," Winn-Dixie Stores","14136.5",NULL,"182.3",NULL,NULL,NULL,NULL,NULL
"34758","2000","124"," Eastman Kodak","14089",NULL,"1392",NULL,NULL,NULL,NULL,NULL
"34759","2000","125"," IBP","14075.2",NULL,"313.3",NULL,NULL,NULL,NULL,NULL
"34760","2000","126"," ConocoPhillips","13852",NULL,"609",NULL,NULL,NULL,NULL,NULL
"34761","2000","127"," Washington Mutual","13571.2",NULL,"1817.1",NULL,NULL,NULL,NULL,NULL
"34762","2000","128"," Nationwide","13554.9",NULL,"512.8",NULL,NULL,NULL,NULL,NULL
"34763","2000","129"," Wyeth","13550.2",NULL,"-1227.1",NULL,NULL,NULL,NULL,NULL
"34764","2000","130"," Hartford Financial Services","13528",NULL,"862",NULL,NULL,NULL,NULL,NULL
"34765","2000","131"," Dana","13353",NULL,"513",NULL,NULL,NULL,NULL,NULL
"34766","2000","132"," McDonalds","13259.3",NULL,"1947.9",NULL,NULL,NULL,NULL,NULL
"34767","2000","133"," Waste Management","13257.4",NULL,"-201.9",NULL,NULL,NULL,NULL,NULL
"34768","2000","134"," US West","13182",NULL,"1342",NULL,NULL,NULL,NULL,NULL
"34769","2000","135"," Abbott Laboratories","13177.6",NULL,"2445.8",NULL,NULL,NULL,NULL,NULL
"34770","2000","136"," Atlantic Richfield","13176",NULL,"1422",NULL,NULL,NULL,NULL,NULL
"34771","2000","137"," Publix Super Markets","13068.9",NULL,"462.4",NULL,NULL,NULL,NULL,NULL
"34772","2000","138"," Kimberly-Clark","13006.8",NULL,"1668.1",NULL,NULL,NULL,NULL,NULL
"34773","2000","139"," Warner-Lambert","12928.9",NULL,"1733.2",NULL,NULL,NULL,NULL,NULL
"34774","2000","140"," Goodyear Tire & Rubber","12880.6",NULL,"241.1",NULL,NULL,NULL,NULL,NULL
"34775","2000","141"," Viacom","12858.8",NULL,"334",NULL,NULL,NULL,NULL,NULL
"34776","2000","142"," Rite Aid","12731.9",NULL,"143.7",NULL,NULL,NULL,NULL,NULL
"34777","2000","143"," Lear","12428",NULL,"257.1",NULL,NULL,NULL,NULL,NULL
"34778","2000","144"," Fluor","12417.4",NULL,"104.2",NULL,NULL,NULL,NULL,NULL
