"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"35131","1999","1"," General Motors","161315",NULL,"2956",NULL,NULL,NULL,NULL,NULL
"35132","1999","2"," Ford Motor","144416",NULL,"22071",NULL,NULL,NULL,NULL,NULL
"35133","1999","3"," Wal-Mart Stores","139208",NULL,"4430",NULL,NULL,NULL,NULL,NULL
"35134","1999","4"," Exxon Mobil","100697",NULL,"6370",NULL,NULL,NULL,NULL,NULL
"35135","1999","5"," General Electric","100469",NULL,"9296",NULL,NULL,NULL,NULL,NULL
"35136","1999","6"," Intl. Business Machines","81667",NULL,"6328",NULL,NULL,NULL,NULL,NULL
"35137","1999","7"," Citigroup","76431",NULL,"5807",NULL,NULL,NULL,NULL,NULL
"35138","1999","8"," Altria Group","57813",NULL,"5372",NULL,NULL,NULL,NULL,NULL
"35139","1999","9"," Boeing","56154",NULL,"1120",NULL,NULL,NULL,NULL,NULL
"35140","1999","10"," AT&T","53588",NULL,"6398",NULL,NULL,NULL,NULL,NULL
"35141","1999","11"," Bank of America Corp.","50777",NULL,"5165",NULL,NULL,NULL,NULL,NULL
"35142","1999","12"," State Farm Insurance Cos","47678",NULL,"1704",NULL,NULL,NULL,NULL,NULL
"35143","1999","13"," Mobil","47061",NULL,"2945",NULL,NULL,NULL,NULL,NULL
"35144","1999","14"," Hewlett-Packard","44620.9",NULL,"1319.7",NULL,NULL,NULL,NULL,NULL
"35145","1999","15"," Sears Roebuck","41322",NULL,"1048",NULL,NULL,NULL,NULL,NULL
"35146","1999","16"," DuPont","39130",NULL,"4480",NULL,NULL,NULL,NULL,NULL
"35147","1999","17"," Procter & Gamble","37154",NULL,"3780",NULL,NULL,NULL,NULL,NULL
"35148","1999","18"," TIAA-CREF","35889.1",NULL,"840.4",NULL,NULL,NULL,NULL,NULL
"35149","1999","19"," Merrill Lynch","35853",NULL,"1259",NULL,NULL,NULL,NULL,NULL
"35150","1999","20"," Prudential Ins. Co. of America","34427",NULL,"1106",NULL,NULL,NULL,NULL,NULL
"35151","1999","21"," Kmart Holding","33674",NULL,"568",NULL,NULL,NULL,NULL,NULL
"35152","1999","22"," American Intl. Group","33296",NULL,"3765.6",NULL,NULL,NULL,NULL,NULL
"35153","1999","23"," Chase Manhattan Corp.","32379",NULL,"3782",NULL,NULL,NULL,NULL,NULL
"35154","1999","24"," Texaco","31707",NULL,"578",NULL,NULL,NULL,NULL,NULL
"35155","1999","25"," Verizon Communications","31565.9",NULL,"2965.3",NULL,NULL,NULL,NULL,NULL
"35156","1999","26"," Fannie Mae","31498.8",NULL,"3418.1",NULL,NULL,NULL,NULL,NULL
"35157","1999","27"," Enron","31260",NULL,"703",NULL,NULL,NULL,NULL,NULL
"35158","1999","28"," Compaq Computer","31169",NULL,"-2743",NULL,NULL,NULL,NULL,NULL
"35159","1999","29"," Morgan Stanley","31131",NULL,"3276",NULL,NULL,NULL,NULL,NULL
"35160","1999","30"," Target","30951",NULL,"935",NULL,NULL,NULL,NULL,NULL
"35161","1999","31"," J.C. Penney","30678",NULL,"594",NULL,NULL,NULL,NULL,NULL
"35162","1999","32"," Home Depot","30219",NULL,"1614",NULL,NULL,NULL,NULL,NULL
"35163","1999","33"," Lucent Technologies","30147",NULL,"970",NULL,NULL,NULL,NULL,NULL
"35164","1999","34"," Motorola","29398",NULL,"-962",NULL,NULL,NULL,NULL,NULL
"35165","1999","35"," SBC Communications","28777",NULL,"4023",NULL,NULL,NULL,NULL,NULL
"35166","1999","36"," Kroger","28203.3",NULL,"410.8",NULL,NULL,NULL,NULL,NULL
"35167","1999","37"," Merck","26898.2",NULL,"5248.2",NULL,NULL,NULL,NULL,NULL
"35168","1999","38"," ChevronTexaco","26801",NULL,"1976",NULL,NULL,NULL,NULL,NULL
"35169","1999","39"," MetLife","26735",NULL,"1343",NULL,NULL,NULL,NULL,NULL
"35170","1999","40"," Intel","26273",NULL,"6068",NULL,NULL,NULL,NULL,NULL
"35171","1999","41"," Lockheed Martin","26266",NULL,"1001",NULL,NULL,NULL,NULL,NULL
"35172","1999","42"," Allstate","25879",NULL,"3294",NULL,NULL,NULL,NULL,NULL
"35173","1999","43"," United Technologies","25715",NULL,"1255",NULL,NULL,NULL,NULL,NULL
"35174","1999","44"," Bank One Corp.","25595",NULL,"3108",NULL,NULL,NULL,NULL,NULL
"35175","1999","45"," GTE","25473",NULL,"2172",NULL,NULL,NULL,NULL,NULL
"35176","1999","46"," United Parcel Service","24788",NULL,"1741",NULL,NULL,NULL,NULL,NULL
"35177","1999","47"," Marathon Oil","24754",NULL,"674",NULL,NULL,NULL,NULL,NULL
"35178","1999","48"," Safeway","24484.2",NULL,"806.7",NULL,NULL,NULL,NULL,NULL
"35179","1999","49"," Costco Wholesale","24269.9",NULL,"459.8",NULL,NULL,NULL,NULL,NULL
"35180","1999","50"," ConAgra Foods","23840.5",NULL,"613.2",NULL,NULL,NULL,NULL,NULL
"35181","1999","51"," Johnson & Johnson","23657",NULL,"3059",NULL,NULL,NULL,NULL,NULL
"35182","1999","52"," BellSouth","23123",NULL,"3527",NULL,NULL,NULL,NULL,NULL
"35183","1999","53"," Walt Disney","22976",NULL,"1850",NULL,NULL,NULL,NULL,NULL
"35184","1999","54"," PepsiCo","22348",NULL,"1993",NULL,NULL,NULL,NULL,NULL
"35185","1999","55"," Ingram Micro","22034",NULL,"245.2",NULL,NULL,NULL,NULL,NULL
"35186","1999","56"," Wachovia Corp.","21543",NULL,"2891",NULL,NULL,NULL,NULL,NULL
"35187","1999","57"," Cigna","21437",NULL,"1292",NULL,NULL,NULL,NULL,NULL
"35188","1999","58"," Caterpillar","20977",NULL,"1513",NULL,NULL,NULL,NULL,NULL
"35189","1999","59"," McKesson","20857.3",NULL,"154.9",NULL,NULL,NULL,NULL,NULL
"35190","1999","60"," Loews","20713",NULL,"464.8",NULL,NULL,NULL,NULL,NULL
