"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"39615","1990","1"," General Motors","126974",NULL,"4224.3",NULL,NULL,NULL,NULL,NULL
"39616","1990","2"," Ford Motor","96932.6",NULL,"3835",NULL,NULL,NULL,NULL,NULL
"39617","1990","3"," Exxon Mobil","86656",NULL,"3510",NULL,NULL,NULL,NULL,NULL
"39618","1990","4"," Intl. Business Machines","63438",NULL,"3758",NULL,NULL,NULL,NULL,NULL
"39619","1990","5"," General Electric","55264",NULL,"3939",NULL,NULL,NULL,NULL,NULL
"39620","1990","6"," Mobil","50976",NULL,"1809",NULL,NULL,NULL,NULL,NULL
"39621","1990","7"," Altria Group","39069",NULL,"2946",NULL,NULL,NULL,NULL,NULL
"39622","1990","8"," Chrysler","36156",NULL,"359",NULL,NULL,NULL,NULL,NULL
"39623","1990","9"," DuPont","35209",NULL,"2480",NULL,NULL,NULL,NULL,NULL
"39624","1990","10"," Texaco","32416",NULL,"2413",NULL,NULL,NULL,NULL,NULL
"39625","1990","11"," ChevronTexaco","29443",NULL,"251",NULL,NULL,NULL,NULL,NULL
"39626","1990","12"," Amoco","24214",NULL,"1610",NULL,NULL,NULL,NULL,NULL
"39627","1990","13"," Shell Oil","21703",NULL,"1405",NULL,NULL,NULL,NULL,NULL
"39628","1990","14"," Procter & Gamble","21689",NULL,"1206",NULL,NULL,NULL,NULL,NULL
"39629","1990","15"," Boeing","20276",NULL,"973",NULL,NULL,NULL,NULL,NULL
"39630","1990","16"," Occidental Petroleum","20068",NULL,"285",NULL,NULL,NULL,NULL,NULL
"39631","1990","17"," United Technologies","19765.5",NULL,"702.1",NULL,NULL,NULL,NULL,NULL
"39632","1990","18"," Eastman Kodak","18546",NULL,"529",NULL,NULL,NULL,NULL,NULL
"39633","1990","19"," Marathon Oil","17755",NULL,"965",NULL,NULL,NULL,NULL,NULL
"39634","1990","20"," Dow Chemical","17730",NULL,"2487",NULL,NULL,NULL,NULL,NULL
"39635","1990","21"," Xerox","17635",NULL,"704",NULL,NULL,NULL,NULL,NULL
"39636","1990","22"," Atlantic Richfield","15905",NULL,"1953",NULL,NULL,NULL,NULL,NULL
"39637","1990","23"," PepsiCo","15419.6",NULL,"901.4",NULL,NULL,NULL,NULL,NULL
"39638","1990","24"," Nabisco Group Holdings","15224",NULL,"-1149",NULL,NULL,NULL,NULL,NULL
"39639","1990","25"," McDonnell Douglas","14995",NULL,"219",NULL,NULL,NULL,NULL,NULL
"39640","1990","26"," Tenneco Automotive","14439",NULL,"584",NULL,NULL,NULL,NULL,NULL
"39641","1990","27"," Digital Equipment","12866",NULL,"1072.6",NULL,NULL,NULL,NULL,NULL
"39642","1990","28"," CBS","12844",NULL,"922",NULL,NULL,NULL,NULL,NULL
"39643","1990","29"," Rockwell Automation","12633.1",NULL,"734.9",NULL,NULL,NULL,NULL,NULL
"39644","1990","30"," ConocoPhillips","12492",NULL,"219",NULL,NULL,NULL,NULL,NULL
"39645","1990","31"," Honeywell Intl.","12021",NULL,"528",NULL,NULL,NULL,NULL,NULL
"39646","1990","32"," 3M","11990",NULL,"1244",NULL,NULL,NULL,NULL,NULL
"39647","1990","33"," Hewlett-Packard","11899",NULL,"829",NULL,NULL,NULL,NULL,NULL
"39648","1990","34"," Sara Lee","11738.3",NULL,"410.5",NULL,NULL,NULL,NULL,NULL
"39649","1990","35"," International Paper","11378",NULL,"864",NULL,NULL,NULL,NULL,NULL
"39650","1990","36"," ConAgra Foods","11340.4",NULL,"197.9",NULL,NULL,NULL,NULL,NULL
"39651","1990","37"," Alcoa","11161.5",NULL,"944.9",NULL,NULL,NULL,NULL,NULL
"39652","1990","38"," Caterpillar","11126",NULL,"497",NULL,NULL,NULL,NULL,NULL
"39653","1990","39"," Goodyear Tire & Rubber","11044.7",NULL,"206.8",NULL,NULL,NULL,NULL,NULL
"39654","1990","40"," Unocal","10417",NULL,"260",NULL,NULL,NULL,NULL,NULL
"39655","1990","41"," Georgia-Pacific","10171",NULL,"661",NULL,NULL,NULL,NULL,NULL
"39656","1990","42"," Weyerhaeuser","10105.6",NULL,"341.1",NULL,NULL,NULL,NULL,NULL
"39657","1990","43"," Unisys","10096.9",NULL,"-639.3",NULL,NULL,NULL,NULL,NULL
"39658","1990","44"," General Dynamics","10053.2",NULL,"293.1",NULL,NULL,NULL,NULL,NULL
"39659","1990","45"," Lockheed Martin","9932",NULL,"2",NULL,NULL,NULL,NULL,NULL
"39660","1990","46"," Sunoco","9927",NULL,"98",NULL,NULL,NULL,NULL,NULL
"39661","1990","47"," Johnson & Johnson","9844",NULL,"1082",NULL,NULL,NULL,NULL,NULL
"39662","1990","48"," Motorola","9620",NULL,"498",NULL,NULL,NULL,NULL,NULL
"39663","1990","49"," Anheuser-Busch","9481.3",NULL,"767.2",NULL,NULL,NULL,NULL,NULL
"39664","1990","50"," Bristol-Myers Squibb","9422",NULL,"747",NULL,NULL,NULL,NULL,NULL
"39665","1990","51"," Coca-Cola","9170.8",NULL,"1723.8",NULL,NULL,NULL,NULL,NULL
"39666","1990","52"," Raytheon","8796.1",NULL,"528.8",NULL,NULL,NULL,NULL,NULL
"39667","1990","53"," Union Carbide","8744",NULL,"573",NULL,NULL,NULL,NULL,NULL
"39668","1990","54"," Monsanto","8681",NULL,"679",NULL,NULL,NULL,NULL,NULL
"39669","1990","55"," Coastal","8630.1",NULL,"170.1",NULL,NULL,NULL,NULL,NULL
"39670","1990","56"," Unilever U.S.","8113.8",NULL,"139",NULL,NULL,NULL,NULL,NULL
"39671","1990","57"," Archer Daniels Midland","8056.5",NULL,"424.7",NULL,NULL,NULL,NULL,NULL
"39672","1990","58"," Ashland","8016.6",NULL,"86.2",NULL,NULL,NULL,NULL,NULL
"39673","1990","59"," Time Warner","7642",NULL,"-256",NULL,NULL,NULL,NULL,NULL
"39674","1990","60"," Borden Chemical","7593.4",NULL,"-60.6",NULL,NULL,NULL,NULL,NULL
"39675","1990","61"," Textron","7440.1",NULL,"259.2",NULL,NULL,NULL,NULL,NULL
"39676","1990","62"," TRW","7408",NULL,"263",NULL,NULL,NULL,NULL,NULL
"39677","1990","63"," Baxter International","7399",NULL,"446",NULL,NULL,NULL,NULL,NULL
"39678","1990","64"," Fortune Brands","7264.7",NULL,"630.8",NULL,NULL,NULL,NULL,NULL
"39679","1990","65"," Honeywell","7241.6",NULL,"604.1",NULL,NULL,NULL,NULL,NULL
"39680","1990","66"," Deere","7221",NULL,"380.2",NULL,NULL,NULL,NULL,NULL
"39681","1990","67"," Emerson Electric","7071.3",NULL,"588",NULL,NULL,NULL,NULL,NULL
"39682","1990","68"," Wyeth","6747",NULL,"1102.2",NULL,NULL,NULL,NULL,NULL
"39683","1990","69"," Ralston Purina","6711.6",NULL,"422.5",NULL,NULL,NULL,NULL,NULL
"39684","1990","70"," Merck","6698.4",NULL,"1495.4",NULL,NULL,NULL,NULL,NULL
"39685","1990","71"," Texas Instruments","6592.2",NULL,"291.7",NULL,NULL,NULL,NULL,NULL
"39686","1990","72"," LTV","6362.1",NULL,"264.9",NULL,NULL,NULL,NULL,NULL
"39687","1990","73"," Sealed Air","6330.8",NULL,"253.2",NULL,NULL,NULL,NULL,NULL
"39688","1990","74"," Whirlpool","6318.9",NULL,"187.2",NULL,NULL,NULL,NULL,NULL
"39689","1990","75"," North American Philips","6202.6",NULL,"-178",NULL,NULL,NULL,NULL,NULL
"39690","1990","76"," Reynolds Metals","6201",NULL,"532.7",NULL,NULL,NULL,NULL,NULL
"39691","1990","77"," Hoechst Celanese","6016",NULL,"267",NULL,NULL,NULL,NULL,NULL
"39692","1990","78"," NCR","5956",NULL,"412",NULL,NULL,NULL,NULL,NULL
"39693","1990","79"," Hanson Industries NA","5933.3",NULL,"760.8",NULL,NULL,NULL,NULL,NULL
"39694","1990","80"," Pfizer","5903.7",NULL,"681.1",NULL,NULL,NULL,NULL,NULL
"39695","1990","81"," Fort James","5901.6",NULL,"255.1",NULL,NULL,NULL,NULL,NULL
"39696","1990","82"," H.J. Heinz","5831.9",NULL,"440.2",NULL,NULL,NULL,NULL,NULL
"39697","1990","83"," PPG Industries","5825.2",NULL,"465.2",NULL,NULL,NULL,NULL,NULL
"39698","1990","84"," Martin Marietta","5814.3",NULL,"306.9",NULL,NULL,NULL,NULL,NULL
"39699","1990","85"," General Mills","5798",NULL,"414.3",NULL,NULL,NULL,NULL,NULL
"39700","1990","86"," Kimberly-Clark","5777.1",NULL,"423.8",NULL,NULL,NULL,NULL,NULL
"39701","1990","87"," Quaker Oats","5724.3",NULL,"203",NULL,NULL,NULL,NULL,NULL
"39702","1990","88"," Campbell Soup","5710.4",NULL,"13.1",NULL,NULL,NULL,NULL,NULL
"39703","1990","89"," Amerada Hess","5589",NULL,"476.3",NULL,NULL,NULL,NULL,NULL
"39704","1990","90"," Abbott Laboratories","5453.5",NULL,"859.8",NULL,NULL,NULL,NULL,NULL
"39705","1990","91"," Bayer Corporation","5424.7",NULL,"153.9",NULL,NULL,NULL,NULL,NULL
"39706","1990","92"," BASF","5421.5",NULL,"90",NULL,NULL,NULL,NULL,NULL
"39707","1990","93"," Lyondell Chemical","5374",NULL,"374",NULL,NULL,NULL,NULL,NULL
"39708","1990","94"," Stone Container","5360.7",NULL,"285.8",NULL,NULL,NULL,NULL,NULL
"39709","1990","95"," Bethlehem Steel","5305.9",NULL,"245.7",NULL,NULL,NULL,NULL,NULL
"39710","1990","96"," Apple Computer","5284",NULL,"454",NULL,NULL,NULL,NULL,NULL
"39711","1990","97"," Champion International","5254.2",NULL,"432.4",NULL,NULL,NULL,NULL,NULL
"39712","1990","98"," Northrop Grumman","5200",NULL,"-80.5",NULL,NULL,NULL,NULL,NULL
