"id","year","rank","name","revenues","revenue_percent_change","profits","profits_percent_change","assets","market_cap","change_in_rank","employees"
"38115","1993","1"," General Motors","132775",NULL,"-23498.3",NULL,NULL,NULL,NULL,NULL
"38116","1993","2"," Exxon Mobil","103547",NULL,"4770",NULL,NULL,NULL,NULL,NULL
"38117","1993","3"," Ford Motor","100786",NULL,"-7385",NULL,NULL,NULL,NULL,NULL
"38118","1993","4"," Intl. Business Machines","65096",NULL,"-4965",NULL,NULL,NULL,NULL,NULL
"38119","1993","5"," General Electric","62202",NULL,"4725",NULL,NULL,NULL,NULL,NULL
"38120","1993","6"," Mobil","57389",NULL,"862",NULL,NULL,NULL,NULL,NULL
"38121","1993","7"," Altria Group","50157",NULL,"4939",NULL,NULL,NULL,NULL,NULL
"38122","1993","8"," ChevronTexaco","38523",NULL,"1569",NULL,NULL,NULL,NULL,NULL
"38123","1993","9"," DuPont","37386",NULL,"-3927",NULL,NULL,NULL,NULL,NULL
"38124","1993","10"," Texaco","37130",NULL,"712",NULL,NULL,NULL,NULL,NULL
"38125","1993","11"," Chrysler","36897",NULL,"723",NULL,NULL,NULL,NULL,NULL
"38126","1993","12"," Boeing","30414",NULL,"552",NULL,NULL,NULL,NULL,NULL
"38127","1993","13"," Procter & Gamble","29890",NULL,"1872",NULL,NULL,NULL,NULL,NULL
"38128","1993","14"," Amoco","25543",NULL,"-74",NULL,NULL,NULL,NULL,NULL
"38129","1993","15"," PepsiCo","22083.7",NULL,"374.3",NULL,NULL,NULL,NULL,NULL
"38130","1993","16"," United Technologies","22032",NULL,"-287",NULL,NULL,NULL,NULL,NULL
"38131","1993","17"," ConAgra Foods","21219",NULL,"372.4",NULL,NULL,NULL,NULL,NULL
"38132","1993","18"," Shell Oil","21160",NULL,"-190",NULL,NULL,NULL,NULL,NULL
"38133","1993","19"," Eastman Kodak","20577",NULL,"1146",NULL,NULL,NULL,NULL,NULL
"38134","1993","20"," Dow Chemical","19080",NULL,"-489",NULL,NULL,NULL,NULL,NULL
"38135","1993","21"," Xerox","18089",NULL,"-1020",NULL,NULL,NULL,NULL,NULL
"38136","1993","22"," Atlantic Richfield","18061",NULL,"801",NULL,NULL,NULL,NULL,NULL
"38137","1993","23"," McDonnell Douglas","17513",NULL,"-781",NULL,NULL,NULL,NULL,NULL
"38138","1993","24"," Hewlett-Packard","16427",NULL,"549",NULL,NULL,NULL,NULL,NULL
"38139","1993","25"," Marathon Oil","16186",NULL,"-1826",NULL,NULL,NULL,NULL,NULL
"38140","1993","26"," Nabisco Group Holdings","15734",NULL,"299",NULL,NULL,NULL,NULL,NULL
"38141","1993","27"," Digital Equipment","14027",NULL,"-2795.5",NULL,NULL,NULL,NULL,NULL
"38142","1993","28"," 3M","13883",NULL,"1233",NULL,NULL,NULL,NULL,NULL
"38143","1993","29"," Johnson & Johnson","13846",NULL,"1030",NULL,NULL,NULL,NULL,NULL
"38144","1993","30"," Tenneco Automotive","13606",NULL,"-1323",NULL,NULL,NULL,NULL,NULL
"38145","1993","31"," International Paper","13600",NULL,"86",NULL,NULL,NULL,NULL,NULL
"38146","1993","32"," Motorola","13341",NULL,"453",NULL,NULL,NULL,NULL,NULL
"38147","1993","33"," Sara Lee","13321",NULL,"761",NULL,NULL,NULL,NULL,NULL
"38148","1993","34"," Coca-Cola","13238",NULL,"1664",NULL,NULL,NULL,NULL,NULL
"38149","1993","35"," CBS","12100",NULL,"-1291",NULL,NULL,NULL,NULL,NULL
"38150","1993","36"," Honeywell Intl.","12089",NULL,"-712",NULL,NULL,NULL,NULL,NULL
"38151","1993","37"," ConocoPhillips","12037",NULL,"180",NULL,NULL,NULL,NULL,NULL
"38152","1993","38"," Goodyear Tire & Rubber","11923.6",NULL,"-658.6",NULL,NULL,NULL,NULL,NULL
"38153","1993","39"," Georgia-Pacific","11847",NULL,"-124",NULL,NULL,NULL,NULL,NULL
"38154","1993","40"," Bristol-Myers Squibb","11805",NULL,"1962",NULL,NULL,NULL,NULL,NULL
"38155","1993","41"," Anheuser-Busch","11400.8",NULL,"917.5",NULL,NULL,NULL,NULL,NULL
"38156","1993","42"," IBP","11129.7",NULL,"63.6",NULL,NULL,NULL,NULL,NULL
"38157","1993","43"," Rockwell Automation","10995.1",NULL,"-1036",NULL,NULL,NULL,NULL,NULL
"38158","1993","44"," Caterpillar","10194",NULL,"-2435",NULL,NULL,NULL,NULL,NULL
"38159","1993","45"," Lockheed Martin","10138",NULL,"-283",NULL,NULL,NULL,NULL,NULL
"38160","1993","46"," Coastal","10062.9",NULL,"-126.8",NULL,NULL,NULL,NULL,NULL
"38161","1993","47"," Merck","9800.8",NULL,"1984.2",NULL,NULL,NULL,NULL,NULL
"38162","1993","48"," Ashland","9595.8",NULL,"-335.7",NULL,NULL,NULL,NULL,NULL
"38163","1993","49"," Alcoa","9588.4",NULL,"-1139.2",NULL,NULL,NULL,NULL,NULL
"38164","1993","50"," Archer Daniels Midland","9344.1",NULL,"503.8",NULL,NULL,NULL,NULL,NULL
"38165","1993","51"," Weyerhaeuser","9259.9",NULL,"372",NULL,NULL,NULL,NULL,NULL
"38166","1993","52"," Unilever U.S.","9216.8",NULL,"260.5",NULL,NULL,NULL,NULL,NULL
"38167","1993","53"," Citgo Petroleum","9173.5",NULL,"33.2",NULL,NULL,NULL,NULL,NULL
"38168","1993","54"," Raytheon","9118.9",NULL,"635.1",NULL,NULL,NULL,NULL,NULL
"38169","1993","55"," Unocal","8948",NULL,"220",NULL,NULL,NULL,NULL,NULL
"38170","1993","56"," Occidental Petroleum","8940",NULL,"-591",NULL,NULL,NULL,NULL,NULL
"38171","1993","57"," Fortune Brands","8840.3",NULL,"883.8",NULL,NULL,NULL,NULL,NULL
"38172","1993","58"," General Dynamics","8731",NULL,"815",NULL,NULL,NULL,NULL,NULL
"38173","1993","59"," Sunoco","8685",NULL,"-559",NULL,NULL,NULL,NULL,NULL
